"X","run","convergenceIndicator","exploratoryNumber","smoothingNumber"
1,"1702059916_60624",-6397007.87672992,10000,1000
1,"1702059916_72571",-6696470.99088705,10000,1000
1,"1702059916_69504",-6586038.84881976,7718,1000
1,"1702059935_0991",-6609791.81575331,7604,1000
1,"1702059934_89274",-6580184.33151773,10000,1000
1,"1702059934_59317",-6172604.11841089,9310,1000
1,"1702664768_22942",-6278357.84419585,6266,1000
1,"1702664766_20488",-6621038.8956755,7257,1000
1,"1702664766_7668",-6582267.06408298,5525,1000
1,"1702664766_8798",-6683125.29271905,5508,1000
1,"1702664766_84499",-6757697.10169091,6403,1000
1,"1703148805_81028",-5590692.85932294,10000,1000
1,"1703171110_05686",-6689531.72722456,8087,1000
1,"1703171110_28597",-6236020.97408639,10000,1000
1,"1703171109_9439",-6686482.83110845,10000,1000
1,"1703171246_83479",-6499568.88341143,10000,1000
1,"1703171247_98414",-6701197.65162479,6882,1000
1,"1703171247_95412",-6536935.23901888,9131,1000
1,"1703602913_25172",-6258290.14428552,10000,1000
1,"1703634040_65917",-6547755.18988808,10000,1000
1,"1703657742_49583",-6247023.4411145,7030,1000
1,"1703665007_07139",-6685495.17803665,7540,1000
1,"1703672101_84843",-6507428.87924282,10000,1000
1,"1703699471_90805",-6534937.83783292,10000,1000
1,"1705547120_22329",-6289613.01835831,10000,1000
1,"1705547119_32935",-6657184.52138944,6712,1000
1,"1705547119_32913",-6654065.74306865,8560,1000
1,"1705547119_47364",-6681857.86682196,7473,1000
1,"1705547119_35522",-6757455.91396442,7585,1000
1,"1705547121_51127",-6670266.75815505,10000,1000
1,"1705547121_67204",-6663185.88700476,7121,1000
1,"1705547119_44309",-6749463.9184655,9028,1000
1,"1705547120_50355",-5864994.75765711,10000,1000
1,"1705547120_14799",-6458034.74856392,10000,1000
1,"1705968209_59992",-6710399.51569516,10000,1000
1,"1705995090_81253",-6403025.15548081,10000,1000
1,"1705995419_05629",-5903691.4598359,10000,1000
1,"1705998480_56991",-6267478.80799218,10000,1000
1,"1705998601_31145",-6207332.09086599,10000,1000
1,"1706010122_26331",-6673454.40109431,7321,1000
1,"1706039468_2022",-6299189.71446844,10000,1000
1,"1706075329_9641",-6724070.60085023,9029,1000
