,saem,cond,mode,se,ll,run
0,180806.663920879,,,996.638312578201,179108.180604219,eM7xfxjOhAnseGpnrDnK
1,129453.220396996,,,864.039972305298,746.086270093918,NUaQDcnXtbe5Br1sCbi4
2,62900.9985249043,,,882.122725725174,732.34798002243,b43NpBOpXaG8jAxebmlG
3,60717.6955928802,,,745.159905672073,824.103911876678,8FCzH5b3RRLbSb7hEVV4
4,137399.62381959,,,1187.10890936852,730.430484294891,yDcprRcDZJ1pAFxFCoVt
5,70183.2481393814,,,1083.72674751282,730.453795671463,8tuNcVMek4INasEtHIxS
6,51650.3199605942,,,1015.69320654869,200273.33934617,SsAGTA4rwjzQqCgqpVfr
7,94850.9435942173,,,1052.73051762581,731.041921377182,1mNm1gFIlJPUpQJeHvFq
8,105194.446092844,,,1115.02184844017,732.599458456039,JepPMA1LHmWYEqPMNbG3
9,56705.3830230236,,,1120.51177072525,729.988216876984,mHpM8GLK9NCyAhWIo3zn
10,51214.5037314892,,,809.227739095688,173814.709533691,f8owUGGCMp0AbdZ2HIKS
11,83587.8665144444,,,839.203743457794,6515.78038811684,c00AScsQZR5lIOmYZfvJ
12,109865.657089233,,,891.936529874802,731.361258983612,OEATIxJB6qEbwlXkBo9k
13,89338.3600564003,,,1148.34044718742,729.558621168137,rEYlY6wAFyp7yYXGEROI
14,63666.3191692829,,,881.039724826813,728.192800283432,kc4A6j0a8ZhVXdPHSYB4
15,65876.0194499493,,,1196.78010463715,730.200997591019,rAEdUNWQvRKcYTnKsySh
16,105072.311527967,,,881.011614322662,1077.18553233147,dD24RCrpfS1wmlGSw3CS
17,57872.1141476631,,,1130.50595974922,738.690279960632,7At8c7toRU5jTOvAUyyG
18,183663.558390379,,,1295.23035001755,731.277596473694,cK051P6ghpug8Aq0MHVV
19,92125.9698412418,,,908.610647201538,1191.2929854393,Oxzk2Pru1nlOFzUZYkyx
20,70547.8650188446,,,1024.45632910728,747.011562108994,3AhFhWBWCtJqVrIxstd8
21,116639.039999008,,,1193.0255651474,730.700415611267,OjilPMhMqf2e8UJ4vZNI
22,44144.827747345,,,696.933397054672,165439.516901016,6SK4Rj0PfAK7ipJaGNbs
23,72263.0805957317,,,705.158719062805,905.735220193863,ncn84EAe31GT8TSjBN9A
24,59617.5576198101,,,1073.31841182709,727.679786205292,ZtJxfZ4zXWglXbwCPuaT
25,95312.4586746693,,,1013.60474824905,736.450778007507,0vrrlOSfp176OD5HVGIm
26,98123.7617254257,,,1126.70196175575,730.039352416992,pGzI0ydQ4bQ6dQNayO3U
27,61845.3174233437,,,778.970410823822,730.045375108719,5QJiynhkaBhKY6Muy7kR
28,52013.7860319614,,,841.171149253845,732.980144739151,2zlllx4iRjBb6Gj9mIN4
29,57035.2324182987,,,963.717973709106,729.850161552429,EJ3Oj9Oz63G6zycvqL9a
30,77132.4277453423,,,1149.90637898445,729.844948291779,q9WmDQejlDgR7OdVxKIk
31,112985.228887081,,,1278.70760655403,728.353398799896,gbQ8ef5PGjDmvRsgA4la
32,79867.9479157925,,,831.225057601929,169291.315332413,WpPZrrDyKUq3nr7rnO3p
33,37347.6270914078,,,718.976089715958,744.411187171936,scZ1xQnG7cFMhIVVxYCX
34,50582.7111842632,,,811.838727474213,763.476766824722,53gBmwIMhCfdpsX2jSDf
35,74181.1641886234,,,1020.2142624855,734.502043485641,0ffFPldleS4HngMVoAGX
36,148323.043914318,,,773.893928527832,165196.752925634,0mz4VSuWG9SC0Rsxml6c
37,54124.8209769726,,,745.899183750153,36435.9296426773,ZleiGtRy6jLdWpoLwfaw
38,74200.3169980049,,,884.597886323929,1278.06086730957,BJiVE3wo9WDDUjDXgAyb
39,70225.3389132023,,,1167.76544761658,714.568656206131,TyxcfM0mX2s21ZF1hi3n
40,37636.4601085186,,,659.877575874329,176411.217293024,UUlbDGAG42WurmMSj5Ta
41,56575.68947649,,,820.494872331619,715.180555343628,1xHqoqQnDOzlCHTC0U6W
42,73849.7806301117,,,964.581315994263,715.585257053375,VEOtarSa52PWw4pYKaf8
43,55263.6793994904,,,907.766776800156,196701.338259459,ePpgllm1t0O4oUblsDFK
44,121752.719727755,,,750.940602779388,1691.86209797859,aoIoFl6Akm0REvgcm8Z0
45,106209.551361084,,,1213.54557752609,733.17037153244,k5jtj1eigUY0cYYiNhgW
46,55526.5817220211,,,683.81139087677,751.336035966873,tj1Kx3VCNX5MhkaYeLpP
47,120251.199762583,,,1007.51820898056,730.642000198364,Myt6jpI9e1INBMSj4BCp
48,119952.432105064,,,953.108458042145,731.54142832756,aO331DkXUiRKlTcVRUPT
49,128203.986554146,,,1117.58269667625,732.284300088882,lgO6WDARAsk0U6sjpZDw
50,46583.1753115654,,,772.393712759018,188310.781232357,o22n7jkymYIpnV154anI
51,75773.111215353,,,980.253683805466,731.420420646667,VEH2cm88PRvebnKDChB2
