,run_USemwKEc8eFAOrFQRx5C,run_YSjR7QQAIJdR2NisT5Iw,run_awSKX9QLNNWc5p0BtAaw,run_TeDoFRxLv7aycawQagNR,run_j7hYKf8cjRQozE5zPHwo,run_PLmB7oXsmWzAS1nKRUAA,run_NJrRAqCEXzDVBwYATW3l,run_ohaai9vEKjb8gcZoP9sU,run_Pfj82wCWpIALBsoHrSrH,run_UouaISZmZe5rBZWV0ScW,run_DHJ013145sex2MBWeTrg,run_o6zBx88V1eQNVMuA6pWm,run_2hPFMPyjj5pMsTLKsIa9,run_UaXQ0mDEgO4nAl2hmXv0,run_8epWTsonDCykNs42POTi,run_hZM3KT9Kft2XAIahBzXc,run_gY4OE1nTnKVCQl8I6DzS,run_cJiCStHuBTvWyqqnDRcx,run_J8iuE2c1mRMlTUnrJcHF,run_MUJ6iedCaTfhiN5DTpQS,run_DMmlejeKSqVTeXwWjUZF,run_ThmWsLKQLss2Fz3a51bg,run_2E1CrSs5xtjQjshatNVj,run_lDHEdQf90hlj3OihJDic,run_H0jaRavZ66erIwvCSTBt,run_BtUGQZsR2HDT0jU3fh96,run_wagsXjic4oLubyvbsRyu,run_n5bVqZfMUVYgEiaF9CyD,run_xLRs8xz6HnGgSYvnzmA7,run_hnWXwSX7Ew1fOZZ0J2Md,run_oAX6rW4JDWb6AsrDVoEP,run_LnoUXGec1blEA5nur5Ll,run_pIYw7KyUarKYcaecjzMZ,run_Lp76F1Le7fLR6oWiqSmP,run_YE58JMbvU9pRinRryPZu,run_kzYqcreyFSlvpJNf9eGC,run_cs9OgvF10z1b5YYWGGyj,run_e7qOHrSnjN25r8oFLXPG,run_nY5IeV8jgAvLJM5soq5w,run_kq73CJ68BUhxp2ZECaZJ,run_PKBIaOrBUxiFh7OBo7Yz,run_DcJ1tgm8HUocnHDGgafW,run_99SZt6266biNquEae59m,run_pxcEdJQeQUumU7TA9Z55,run_y1KEasNlj4lwNXc5sH6J,run_BCuNOMz2qr9RiDRY2LMQ,run_q6LNZMu1r62vIgaRFSeY,run_lGNWoT4R5gibmV45SzEa,run_OIkshXnkmhzfixB4qT4v,run_SQjBnrx3MyDLDdok6F3Q,run_Fh7WDVlZkxh3Q0jZBK60,run_LRLn96S4BndHwhXzdSta,run_hdd263pHBT4QHOWTiaHY
delta1m0_pop,-0.391541916031147,-0.122282369705132,-0.0501161084809744,0.377091120312742,0.323077118937228,0.40190927796698,-1.13699141556012,-0.820978298853211,0.355330004946381,-1.4437506095747,-0.0055233889622825,-0.146779512839595,-0.274457331781115,-0.324919503260892,0.340150436059244,-0.7011964405607,-0.343441792270107,-0.0058611216408851,0.575376782574401,-0.254696201926106,-0.33017565545897,-0.109761318439353,-0.494516621240025,-0.688675554128275,-0.14236829297854,-0.703461124229427,-0.0887433862280747,-0.42545566518758,-0.982583636824052,-0.319432684956462,-0.553047688795781,-0.562571825710821,-0.111849955554184,0.163109486330561,-0.319008267022087,0.0317968083345882,-0.112810184972088,-0.0790582889633859,-0.290268662558382,-0.317182875030658,0.363873131554681,-0.309809811064303,-0.128876388788671,-0.762285838296575,0.463932309727714,0.184195121090651,0.115282972037228,-1.56525241157193,0.0754267131466104,-0.877053526591206,0.2433720503768,-0.985509713715317,-0.820131012683945
delta2_pop,-1.55028196718755,-1.69362166160979,-1.80601058061505,-1.62247948915758,-4.41318608057241,-1.73369493755253,-1.4899313738819,-1.29191389461403,-2.2028515583321,-1.46063878414609,-1.9556989065145,-2.44755458081782,-2.63591810314568,-1.7947657854234,-1.93530977478899,-1.62420845151389,-1.4749616178332,-1.33008919845823,-3.17979403606048,-1.20127867463965,-1.23403533688162,-2.39945620936963,-1.63945710062852,-1.73238368943267,-1.48027222524319,-1.35773483176394,-1.78587371179607,-1.58245579237603,-1.26116921561643,-1.27956593745887,-1.18657417905633,-1.9409018329049,-2.00198848444939,-2.48118576298721,-1.71080432388238,-1.56492678104279,-3.25324079669539,-1.69363104552235,-2.44676857255261,-1.72038736370875,-5.91573734524607,-1.79701766692612,-1.77289879437643,-1.36672799903795,-2.49274479845584,-2.00766032440383,-3.60445011253998,-1.59117308738383,-1.37991931681656,-1.43228023341912,-2.27065038860613,-1.47427036204785,-1.26005947031625
e0_m0_pop,0.243237493511509,-0.224104025213642,-0.399391065746144,-1.03090450494972,-1.6302527015667,-0.997546908176134,0.990429500854219,0.929212383737879,-0.759062550670727,0.504910908437635,-0.4889793113798,-0.794206572985146,-0.895599413143846,-0.0978786925955004,-0.58304980588167,0.23790013722162,0.0845265146192223,-0.0837470446595603,-1.5930498299502,-0.0242460167485448,0.16835515979731,-0.722569424242161,0.0197957250580538,-0.370137023125492,0.432499002608956,0.789575964612397,-0.0801435683960887,0.721079746446536,0.674101701454539,0.143677432822064,0.501585738546926,0.123315323378148,-0.398962414640641,-1.09884821372573,-0.0485357987329547,-0.465860358380196,-0.917195721335368,-0.233256682201785,-0.770305433421316,-0.192190152559874,-1.96120507175122,-0.255903802458636,-0.413866405786584,0.806508532125665,-1.3369899874116,-0.429854741365204,-1.40370267347899,1.29375811845263,-0.453173616048238,0.889416787518025,-0.912302131398673,0.334582697475633,0.873680341306899
k2m0scale_pop,16.5687658099989,14.4128573894409,15.6262106634794,15.0579710539182,15.5411413749963,14.5053277206886,15.9700686648575,15.5391342128818,16.4566389082019,14.7362113750165,14.8584135727909,14.8684883434536,16.4239063964731,15.4507521459194,15.7361093528026,15.710067839106,16.0499963428984,14.6885359404236,14.6725671845905,14.2565578540296,14.4817827983279,15.406976860489,15.3464681052975,16.1687526311409,15.0908137522119,15.7981277260363,16.103474650018,15.2990626449259,14.069473716958,15.0024524560959,14.9412310523197,15.3239431662923,16.1792001256736,14.2467105707823,15.3206348380842,14.8334326763053,15.6867183637585,14.763610492648,15.0461157830013,15.2713718933015,14.8882254459959,14.7270603829317,14.1602329618955,16.0601458879296,15.3022667255833,16.2207338212089,15.6447463481262,15.8008821201609,14.3515360839372,15.0187118041085,14.5926187029565,13.9840905747862,14.5163825688754
k2_pop,0.229845898541133,0.452653954107314,0.352780581904625,0.238366559702796,0.87836063820732,0.19420975506757,0.547438580900427,0.213779764742997,0.197342162572393,1.11530058836762,0.424291570086928,0.956879581673325,1.29034490989965,0.498713930311269,0.115816663686927,0.732676907915138,0.318444028288291,-0.153712406047875,0.43635013144352,0.285300452357886,0.308511704854846,0.809586940110288,0.506962781322639,1.55932565174471,0.193914476433498,0.304358454260619,-0.0885464708496054,0.113658267116301,0.529953239498147,0.221834334613359,0.172092112741019,0.437796231219681,0.475606059276004,0.605086100664758,0.435320155336746,-0.601427413308077,0.712726380563174,0.346949501126731,1.12788669174756,0.545211872612697,1.10056468846836,0.638378819255662,0.456580660038068,0.278141178011433,0.409192098421056,0.173085408992572,1.05577920169003,-0.524111542636782,0.0697355069611644,-0.498961023895027,0.486380628119366,0.887647609634365,0.415985729236821
k1m0_pop,1.2549230701594,0.702935446231737,1.32307463896191,1.66539042647151,0.934839862542786,1.02707246311768,0.550300326871212,0.858947775639675,0.899522252949344,0.711075556671749,0.83008619283587,1.33397978844445,0.499459084313323,0.939736576127004,0.594652057956874,1.02459664243848,1.4877293970077,0.68226598389984,1.10676623669802,1.48496092305688,1.83413906733985,0.941513090320615,1.15780805443179,0.758448147374188,0.125881513036832,0.414201357587884,0.618310232465412,-0.209907472200117,1.25448532770868,1.44300330752171,1.00370156977636,-0.186557014205178,1.20674885010115,0.95091897357556,1.16547429184392,1.193701192751,-0.935701900229016,0.808674420732808,1.33965866688771,1.53655835545291,0.889118174901134,1.12472549451891,1.06509959493562,0.7453243463679,1.51076679446688,0.674637612731345,1.19918386116655,1.02814848788819,1.05707319549563,1.14939250666323,0.823061442421456,0.954112717344752,0.194271127327881
r0_m0_pop,-6.45820315663205,-3.82011002679741,-5.58476955505359,-5.16214661662499,-5.13607504665694,-4.22900386503997,-5.27750287080909,-5.12093093983317,-6.08471561580403,-3.93973485686122,-4.43011533092611,-4.67933577833089,-5.51226277675948,-5.09862046277802,-5.13434174972677,-5.33807722695837,-6.08561901639606,-4.11483611192663,-4.45886289818924,-4.23344072160487,-4.51141629529403,-4.97047371470057,-5.15046931797517,-5.2709999911362,-3.83658910184907,-4.95223052327161,-5.50316236270801,-3.97266987206066,-3.89039837470049,-4.98102176183386,-4.638087388793,-3.97612310223434,-6.01344326305723,-3.88173727798168,-5.15010133909762,-4.62397238580782,-3.58745163174936,-4.31044184681357,-4.77437867894518,-5.26275677138716,-4.36868193194201,-4.45721998772497,-3.91036783903403,-5.5508697708721,-5.27515449191823,-5.69081728812473,-5.35586441002828,-5.47792957118783,-4.09586789200787,-4.70544016469882,-4.10674927061357,-3.54497901493957,-3.45273602135852
gamma_pop,-8.75644164330019,-8.70754861200302,-8.90564114029352,-8.96291203491223,-9.46030017231369,-8.70695664822443,-8.70267151766192,-8.38604725801245,-8.4866987543084,-9.82588572931482,-8.8453387930858,-9.53386081645989,-9.66121165767012,-9.02668503663261,-8.27442567125495,-9.21711491250137,-9.01599382292669,-8.71998701993516,-8.87263750285168,-8.91845569875395,-8.99797918488033,-9.2843823376278,-9.22988571977339,-9.65822748987187,-8.10866469643749,-8.465154669005,-8.66105077730208,-7.92315276672131,-9.18590688202781,-8.7829637229499,-8.77785088515142,-8.90061288880302,-9.01898504293506,-9.36508427508937,-8.95204790997595,-8.93656065403726,-9.06662098432695,-8.69786238845177,-9.93331420524125,-9.26292384191753,-9.65995866955973,-9.15552087017214,-9.01036979143404,-8.53394745094976,-9.00773925993136,-8.39852558582473,-9.81100446375418,-8.11604403646977,-9.0095891300833,-8.51352427280022,-8.82949883548207,-9.63952923330896,-8.44258516940674
tBegin_pop,-0.345815593993523,-0.350872409985497,-0.345673939963064,-0.335039614846298,-0.347460551814491,-0.350755100700984,-0.354372469708745,-0.35224888778106,-0.353293659173228,-0.335115224235387,-0.354094884507007,-0.334804085038619,-0.34152446453506,-0.350244129231617,-0.358403560027601,-0.342804901395564,-0.339108341486752,-0.353989980151629,-0.349624785106415,-0.337259486766376,-0.324586961612925,-0.344280499000587,-0.345924218273249,-0.326890457717093,-0.348949351640944,-0.353377682086677,-0.356901680367146,-0.364610076711532,-0.340569265642522,-0.338802871448672,-0.350067642303697,-0.360669239655592,-0.34543820710923,-0.349525698321169,-0.347661468599013,-0.345590800889041,-0.360456056615577,-0.353584272249405,-0.329289992398816,-0.334309460927115,-0.343096945769314,-0.343149429906232,-0.349459739367273,-0.353986947873393,-0.336122784579056,-0.358363946189539,-0.336798445055006,-0.347894891656155,-0.349929257555311,-0.340945459661219,-0.350749436742972,-0.341835314638631,-0.353368825310437
offset_pop,2.0802630760654,2.08027502038289,2.08004494776259,2.08116341210365,2.07973004574862,2.0797425289138,2.07982440602421,2.07975379765104,2.07977874816645,2.08277944382125,2.07939191152556,2.08114805987389,2.08099206947523,2.07981708319635,2.07945795964852,2.0807075956767,2.08072621267001,2.07979786482372,2.08003372938522,2.08084851443903,2.08241534436502,2.08049390226167,2.08003989306689,2.08321420138581,2.08144643814627,2.08005508855104,2.079228154728,2.07917141904375,2.08101162217425,2.08083602171131,2.07985063298984,2.07893844040387,2.08016430724582,2.07962110849167,2.08013795525948,2.08017993355817,2.07941018665451,2.07965299708929,2.08210900993601,2.08165533904998,2.08030139661539,2.08046000295992,2.07967035042736,2.07979472872595,2.08140286125118,2.07940441790023,2.08105571860553,2.08020047022505,2.07962903716592,2.08116264303454,2.08006289018264,2.08098967496742,2.08022805233845
