X,OFV,AIC,BIC,BICc,run
1,-3520791.45922482,-3520769.45922482,-3520697.77009971,-3520666.61235861,1706343453_77936
37,-3520149.08954112,-3520127.08954112,-3520055.40041602,-3520024.24267491,1674886857_75526
4,-3518057.64321102,-3518035.64321102,-3517963.95408591,-3517932.7963448,1674355031_17877
36,-3516734.54563855,-3516712.54563855,-3516640.85651344,-3516609.69877234,1674878065_9159
6,-3516263.7290207,-3516241.7290207,-3516170.03989559,-3516138.88215449,1674375960_26887
31,-3515999.31635868,-3515977.31635868,-3515905.62723357,-3515874.46949246,1674686889_99755
17,-3515751.22536386,-3515729.22536386,-3515657.53623876,-3515626.37849765,1674508994_89958
14,-3514393.98494493,-3514371.98494493,-3514300.29581983,-3514269.13807872,1674470243_60069
20,-3512057.31073579,-3512035.31073579,-3511963.62161069,-3511932.46386958,1674547225_61243
3,-3511858.71070138,-3511836.71070138,-3511765.02157627,-3511733.86383517,1674342593_27439
21,-3511533.58242073,-3511511.58242073,-3511439.89329562,-3511408.73555451,1674649944_50249
1,-3510975.05267584,-3510953.05267584,-3510881.36355073,-3510850.20580963,1706397646_51044
1,-3510421.12626954,-3510399.12626954,-3510327.43714444,-3510296.27940333,1674321577_1541
1,-3509334.44766558,-3509312.44766558,-3509240.75854048,-3509209.60079937,1706494517_5054
11,-3508927.90552773,-3508905.90552773,-3508834.21640263,-3508803.05866152,1674437458_91463
12,-3508174.2472523,-3508152.2472523,-3508080.5581272,-3508049.40038609,1674480678_69547
4,-3507428.02794218,-3507406.02794218,-3507334.33881707,-3507303.18107597,1674353194_58459
1,-3507195.91837243,-3507173.91837243,-3507102.22924732,-3507071.07150622,1706475797_34806
1,-3506181.61731574,-3506159.61731574,-3506087.92819064,-3506056.77044953,1706363350_6049
9,-3503432.53308975,-3503410.53308975,-3503338.84396464,-3503307.68622353,1674417855_39486
29,-3503052.59941533,-3503030.59941533,-3502958.91029022,-3502927.75254912,1674663382_20899
2,-3502574.67666495,-3502552.67666495,-3502480.98753984,-3502449.82979874,1674332681_3369
32,-3502530.96262646,-3502508.96262646,-3502437.27350136,-3502406.11576025,1674697071_23942
12,-3502366.80085954,-3502344.80085954,-3502273.11173444,-3502241.95399333,1674449511_72386
1,-3501994.79248854,-3501972.79248854,-3501901.10336343,-3501869.94562233,1706369380_49889
37,-3501274.30357665,-3501252.30357665,-3501180.61445155,-3501149.45671044,1674764942_5687
19,-3500664.09484387,-3500642.09484387,-3500570.40571876,-3500539.24797766,1674535998_34833
8,-3500527.73646211,-3500505.73646211,-3500434.047337,-3500402.8895959,1674401290_92559
1,-3500433.05634453,-3500411.05634453,-3500339.36721942,-3500308.20947832,1706470090_81613
20,-3500381.33015409,-3500359.33015409,-3500287.64102898,-3500256.48328787,1674631237_9512
21,-3500105.65612927,-3500083.65612927,-3500011.96700416,-3499980.80926306,1674562930_42688
1,-3499428.24683858,-3499406.24683858,-3499334.55771348,-3499303.39997237,1706437857_72697
5,-3497668.04187732,-3497646.04187732,-3497574.35275222,-3497543.19501111,1674363267_05724
1,-3497503.68810636,-3497481.68810636,-3497409.99898126,-3497378.84124015,1706485598_50826
28,-3496951.46222505,-3496929.46222505,-3496857.77309995,-3496826.61535884,1674768661_34636
31,-3496659.73126472,-3496637.73126472,-3496566.04213962,-3496534.88439851,1674807726_71266
1,-3496347.61889961,-3496325.61889961,-3496253.92977451,-3496222.7720334,1706445299_13451
34,-3496286.02692251,-3496264.02692251,-3496192.3377974,-3496161.1800563,1674853660_26001
22,-3495933.51217062,-3495911.51217062,-3495839.82304551,-3495808.66530441,1674575979_67557
19,-3495856.59712416,-3495834.59712416,-3495762.90799906,-3495731.75025795,1674617502_45773
14,-3495763.95214667,-3495741.95214667,-3495670.26302156,-3495639.10528045,1674522216_32424
30,-3495647.47819196,-3495625.47819196,-3495553.78906686,-3495522.63132575,1674795128_51714
16,-3495402.27294617,-3495380.27294617,-3495308.58382106,-3495277.42607996,1674495217_23514
1,-3495387.7528384,-3495365.7528384,-3495294.0637133,-3495262.90597219,1706388164_40594
23,-3494528.76199212,-3494506.76199212,-3494435.07286701,-3494403.91512591,1674587012_58369
36,-3494480.33600499,-3494458.33600499,-3494386.64687988,-3494355.48913877,1674753437_87378
35,-3494156.8514113,-3494134.8514113,-3494063.16228619,-3494032.00454509,1674865248_95459
24,-3494062.93828204,-3494040.93828204,-3493969.24915693,-3493938.09141583,1674600215_987
15,-3493929.93676945,-3493907.93676945,-3493836.24764434,-3493805.08990323,1674481491_93332
27,-3493873.73052762,-3493851.73052762,-3493780.04140251,-3493748.88366141,1674636454_57705
10,-3493705.94330674,-3493683.94330674,-3493612.25418164,-3493581.09644053,1674426305_98274
8,-3493676.98401964,-3493654.98401964,-3493583.29489453,-3493552.13715343,1674405064_49122
13,-3493530.54026751,-3493508.54026751,-3493436.85114241,-3493405.6934013,1674459184_12144
17,-3492970.42543644,-3492948.42543644,-3492876.73631133,-3492845.57857023,1674573876_9813
1,-3492613.56257601,-3492591.56257601,-3492519.87345091,-3492488.7157098,1706333041_38918
6,-3491694.70257234,-3491672.70257234,-3491601.01344724,-3491569.85570613,1674382535_77492
34,-3489780.5558469,-3489758.5558469,-3489686.86672179,-3489655.70898069,1674726259_12675
1,-3489613.57281119,-3489591.57281119,-3489519.88368608,-3489488.72594498,1674318653_47431
38,-3487943.00145126,-3487921.00145126,-3487849.31232616,-3487818.15458505,1674774559_18823
16,-3487926.61800708,-3487904.61800708,-3487832.92888198,-3487801.77114087,1674556073_12956
25,-3487273.55184648,-3487251.55184648,-3487179.86272137,-3487148.70498027,1674607798_302
27,-3487185.48561981,-3487163.48561981,-3487091.7964947,-3487060.6387536,1674757567_62537
