"X","run","convergenceIndicator","exploratoryNumber","smoothingNumber"
1,"1674318653_47431",-3667316.59764512,1787,1000
2,"1674332681_3369",-3667616.94314244,1137,1000
3,"1674343691_03641",-3657133.53965092,1196,1000
4,"1674355031_17877",-3679954.44391054,1392,701
5,"1674365583_50609",-3596135.581213,2371,1000
6,"1674382535_77492",-3666797.15981683,1167,1000
7,"1674393408_95519",-3661834.51752765,1197,1000
8,"1674405064_49122",-3666658.6200649,1411,1000
9,"1674417855_39486",-3673497.37085126,2953,1000
10,"1674439035_17397",-3622087.29411817,1863,1000
11,"1674454649_90659",-3641456.98496869,3826,1000
12,"1674480678_69547",-3667047.46604648,2397,556
13,"1674495488_86732",-3525420.37570347,4456,1000
14,"1674522216_32424",-3668331.78120209,1279,1000
15,"1674533385_17286",-3602854.35553923,3286,1000
16,"1674556073_12956",-3660944.74380175,2455,1000
17,"1674573876_9813",-3665516.77853002,1841,1000
18,"1674588534_89408",-3600533.68161737,4537,1000
19,"1674617502_45773",-3666999.42946916,1816,738
20,"1674631237_9512",-3672085.76630847,2548,1000
21,"1674649944_50249",-3673805.9152218,1393,1000
22,"1674662691_87617",-3628374.55646667,2837,1000
23,"1674682908_70602",-3656941.48516847,1408,1000
24,"1674695121_9996",-3615194.73982708,2954,1000
25,"1674715570_14961",-3624466.68236585,3175,1000
26,"1674737950_3473",-3640297.24700181,2829,1000
27,"1674757567_62537",-3635683.60120957,1127,1000
28,"1674768661_34636",-3650790.81058944,1992,1000
29,"1674784321_63292",-3659428.4646981,1083,1000
30,"1674795128_51714",-3671666.6353868,1407,1000
31,"1674807726_71266",-3667096.17092429,1142,607
32,"1674816866_58545",-3610388.55038449,3283,1000
33,"1674839192_85647",-3643546.14438581,1769,1000
34,"1674853660_26001",-3671105.18133529,1206,1000
35,"1674865248_95459",-3670982.46584373,1426,1000
36,"1674878065_9159",-3679209.97458231,1213,398
37,"1674886857_75526",-3684617.66516555,6207,473
1,"1674321577_1541",-3680405.33581142,1784,346
2,"1674331513_70905",-3655776.94425852,1412,1000
3,"1674342593_27439",-3680801.98062051,1977,298
4,"1674353194_58459",-3670250.84293559,1166,1000
5,"1674363267_05724",-3669340.1702415,1747,1000
6,"1674375960_26887",-3681855.39081025,1942,542
7,"1674387524_92691",-3610605.91792497,1959,1000
8,"1674401290_92559",-3669366.61485923,1325,264
9,"1674408709_55397",-3652582.75764997,2846,1000
10,"1674426305_98274",-3668740.10768671,1428,1000
11,"1674437458_91463",-3672768.99089757,1840,759
12,"1674449511_72386",-3668502.63216946,1078,1000
13,"1674459184_12144",-3674577.63177717,1418,1000
14,"1674470243_60069",-3677556.62341571,1995,420
15,"1674481491_93332",-3645846.20356644,1955,1000
16,"1674495217_23514",-3668561.86394652,2376,625
17,"1674508994_89958",-3671621.24547103,2312,501
18,"1674522085_7989",-3637916.17407266,1989,1000
19,"1674535998_34833",-3669020.92929416,1546,881
20,"1674547225_61243",-3677980.1739107,2847,545
21,"1674562930_42688",-3670804.73547164,1829,1000
22,"1674575979_67557",-3676628.5125352,1416,1000
23,"1674587012_58369",-3663278.01957192,1880,1000
24,"1674600215_987",-3666896.07344933,1000,630
25,"1674607798_302",-3670113.95382556,1158,1000
26,"1674617704_87985",-3644779.29170051,3045,1000
27,"1674636454_57705",-3664392.90749782,1155,1000
28,"1674646395_61913",-3620094.85169144,2723,1000
29,"1674663382_20899",-3664363.65234654,1752,1000
30,"1674676161_39852",-3666379.47400379,1740,613
31,"1674686889_99755",-3676611.97721846,1198,1000
32,"1674697071_23942",-3663806.82544496,1830,839
33,"1674709402_07786",-3636015.7976152,2726,1000
34,"1674726259_12675",-3668482.11238617,1319,1000
35,"1674736782_38407",-3657911.83606852,2661,1000
36,"1674753437_87378",-3666588.93070445,1937,588
37,"1674764942_5687",-3666286.80133734,1091,1000
38,"1674774559_18823",-3651053.91128595,1377,1000
39,"1674785440_65921",-3636461.28430342,1986,1000
1,"1706277166_20293",-3640861.21729954,2457,1000
1,"1706289009_07432",-3670569.2308277,1788,1000
1,"1706297627_02467",-3630844.52844027,3509,1000
1,"1706312362_84127",-3656134.20197678,1417,1000
1,"1706320676_0138",-3616736.39311855,2588,1000
1,"1706333041_38918",-3655895.43120265,1933,1000
1,"1706343453_77936",-3683965.59451369,5007,469
1,"1706363350_6049",-3674035.50355018,1115,469
1,"1706369380_49889",-3668654.24500894,1224,1000
1,"1706377182_10169",-3617610.5462924,2478,1000
1,"1706388164_40594",-3672414.67935289,1952,1000
1,"1706397646_51044",-3675543.72938788,1740,675
1,"1706405750_1938",-3560600.00412507,2993,1000
1,"1706429096_2072",-3635077.62377159,1684,1000
1,"1706437857_72697",-3670021.25718321,1243,1000
1,"1706445299_13451",-3655706.27401242,2356,1000
1,"1706456280_99655",-3637881.23844099,3436,1000
1,"1706470090_81613",-3671974.81839617,1464,256
1,"1706475797_34806",-3667474.78100827,2440,637
1,"1706485598_50826",-3663108.6633686,1941,870
1,"1706494517_5054",-3679316.25442471,3953,422
1,"1706508219_22383",-3547599.87544867,4259,1000
1,"1706524891_91813",-3653769.22996714,2947,1000
1,"1706537093_57649",-3639923.57491963,1969,1000
