"X","run","convergenceIndicator","exploratoryNumber","smoothingNumber"
1,"1700838034_71271",-132708.094083956,2891,1000
2,"1700841394_69504",-126161.040058192,1854,1000
3,"1700845165_21486",-131412.779583604,2248,1000
4,"1700848166_14722",-133429.015801442,1700,1000
5,"1700851457_42836",-131126.19906418,1937,1000
6,"1700854316_30864",-136203.558172407,1052,1000
7,"1700857219_11719",-132470.812286176,2144,1000
8,"1700860532_27996",-108835.685638455,3526,1000
9,"1700864499_97542",-134616.130092273,2120,1000
10,"1700867652_73645",-124057.7335974,2436,1000
11,"1700870934_75099",-130877.523876632,1504,1000
12,"1700873694_14193",-132171.970042576,1463,1000
13,"1700876345_96234",-133007.05141689,2533,1000
14,"1700879351_07321",-132173.544608185,3372,1000
15,"1700882874_61082",-129035.769857434,4555,1000
16,"1700886404_6002",-126462.644872697,2827,1000
17,"1700889516_71666",-128493.278164349,1875,1000
18,"1700893468_57449",-117859.23670565,2116,1000
19,"1700897399_32176",-119560.375582631,1462,1000
20,"1700900134_51258",-119031.46716882,4056,1000
21,"1700904890_48136",-129684.257623947,2844,1000
22,"1700908050_05588",-102135.125611396,1504,1000
23,"1700912492_51123",-129706.464892412,2283,1000
24,"1700915881_46774",-131669.709975823,1689,1000
25,"1700919090_34126",-114781.331023066,3138,1000
26,"1700922755_74132",-131807.572737769,2515,1000
27,"1700926150_2312",-131778.198256257,2073,1000
28,"1700929216_67468",-105346.820879827,2221,1000
29,"1700932955_63878",-127722.380599032,2719,1000
30,"1700936306_93298",-113388.967135536,2127,1000
31,"1700939993_73471",-133984.58378156,2934,1000
32,"1700943069_0623",-116210.729009145,2255,1000
33,"1700946297_50475",-116153.084432971,2321,1000
34,"1700950108_6738",-126873.016429318,1883,1000
35,"1700953401_57241",-133277.9343271,1018,1000
36,"1700956267_9281",-131838.807580384,2370,1000
37,"1700959672_32049",-124439.940148647,2445,1000
38,"1700962952_42409",-131346.526243261,4178,1000
39,"1700968955_40898",-113195.167541335,2860,1000
40,"1700972677_35535",-131956.376010985,2088,1000
41,"1700976868_72503",-105970.798155111,2283,1000
42,"1700980296_90523",-129987.157723693,2873,1000
43,"1700983647_40761",-125219.480962574,4066,539
44,"1700987296_65127",-130974.090401433,2129,1000
45,"1700990543_65859",-129153.338602631,1468,1000
46,"1700993389_36723",-131689.679423764,2409,1000
47,"1700996524_79803",-116766.923387831,2676,1000
48,"1701000790_02091",-105994.604285168,2166,1000
49,"1701007386_02697",-134657.143950025,3295,1000
50,"1701011574_21669",-131737.104326848,2615,1000
1,"1700838034_71293",-134843.241940708,1222,1000
2,"1700841155_76071",-130242.008124635,1679,1000
3,"1700844328_08705",-98689.8342947392,1759,1000
4,"1700847900_87948",-130913.8529252,1953,1000
5,"1700851025_48997",-115115.671784114,1666,1000
6,"1700854090_37388",-127035.853356584,2317,1000
7,"1700857156_30919",-130500.543888933,2522,1000
8,"1700860417_5334",-132083.515967687,2819,1000
9,"1700864355_27781",-97654.1106220932,2199,1000
10,"1700867908_31912",-131916.627515531,2522,1000
11,"1700871247_57832",-134493.980834542,1831,1000
12,"1700875488_57763",-132407.447250738,2852,1000
13,"1700878979_28199",-131482.996495861,1952,1000
14,"1700881723_60041",-129552.566014081,1498,1000
15,"1700884433_26178",-127645.106624974,2521,1000
16,"1700887362_60681",-133141.361157201,1797,1000
17,"1700890121_9242",-131870.227672845,3464,1000
18,"1700893669_29685",-131102.530646651,1238,1000
19,"1700896953_78311",-119394.426329914,1945,1000
20,"1700900034_90703",-130183.350287858,1821,1000
21,"1700903223_95885",-133069.430559501,2614,1000
22,"1700906244_3726",-114958.764077606,2245,1000
23,"1700909397_65769",-134328.691350263,2685,1000
24,"1700912537_31353",-106412.39428536,2709,1000
25,"1700919981_71514",-121311.09001957,2247,1000
26,"1700923227_11996",-123524.825513797,2820,1000
27,"1700927094_45633",-125920.83897968,2408,1000
28,"1700930227_40854",-127197.298796258,1691,1000
29,"1700933461_60817",-122911.025879507,2441,1000
30,"1700936687_30819",-118373.514251543,2600,1000
31,"1700942646_14737",-125415.244142339,3884,1000
32,"1700946370_62709",-132762.524153119,2794,1000
33,"1700950061_71081",-132661.30005629,5044,1000
34,"1700954020_38054",-126102.34208297,3143,1000
35,"1700957378_97745",-119946.568083181,1501,1000
36,"1700961033_70806",-121071.022736836,3738,1000
37,"1700965941_1738",-132640.590391242,1796,848
38,"1700969325_12273",-133167.126276239,2304,1000
39,"1700972490_03701",-121911.14405144,1421,1000
40,"1700975541_033",-127777.703841577,4159,1000
41,"1700981441_10965",-121695.454754848,2156,1000
42,"1700985390_97928",-126596.138710528,1567,1000
43,"1700988146_91112",-134047.944322037,1822,1000
44,"1700991808_25689",-129563.772841048,2431,1000
45,"1700994560_77725",-134198.130797029,1612,1000
46,"1700997384_18434",-128847.875292419,1877,1000
47,"1701001070_48527",-128334.773532644,2161,1000
48,"1701004637_68622",-132162.488680451,3028,1000
49,"1701007908_68193",-130656.499955374,2523,1000
50,"1701011174_35908",-111995.463329794,2128,1000
