"run","a","delta1m0_pop","delta2_pop","e0_m0_pop","gamma_pop","k1m0_pop","k2_pop","k2m0scale_pop","offset_pop","omega_delta1m0","omega_delta2","omega_e0_m0","omega_gamma","omega_k1m0","omega_k2","omega_k2m0scale","omega_offset","omega_r0_m0","omega_tBegin","r0_m0_pop","tBegin_pop"
"1704081806_9851"," 0.03340228"," 0.75837986","-0.55198058","-1.22157139","-2.52578228"," 1.24388206","-2.32864238","11.24536548"," 2.12870186"," 2.84555721"," 3.32940477"," 1.70167328"," 2.14160749"," 1.32273362"," 1.81932513"," 1.28420550"," 0.38396211"," 1.41364557"," 0.69254541","-1.09167938","-0.36390818"
"1703961893_29635"," 0.03330983"," 3.97805680"," 2.08457644","-3.50888984","-4.50261470"," 1.06396583","-0.77059904","11.40407319"," 2.12906519"," 2.86539861"," 2.69823171"," 1.76500949"," 2.88676797"," 1.32918897"," 1.61874255"," 1.09896456"," 0.38393874"," 1.52164429"," 0.69462836","-1.07394420","-0.36478484"
"1706284257_93064"," 0.03374537"," 3.11466806"," 2.00607413","-3.46479503","-4.54991826","-0.20069078","-0.07402587","11.25443699"," 2.12950280"," 2.91911336"," 2.77218855"," 1.92465084"," 3.12854924"," 1.63373893"," 1.66062038"," 1.15692719"," 0.38409898"," 1.58751886"," 0.70020837"," 0.21885278","-0.37025704"
"1704159098_54284"," 0.03401797"," 3.21314995"," 0.35325711","-3.10644833","-1.91229512"," 0.44126899","-2.58410236","11.04769479"," 2.12884932"," 3.31328324"," 2.66693913"," 1.72345529"," 2.31761887"," 1.90395319"," 2.26718512"," 1.22803992"," 0.38385359"," 1.37794244"," 0.69385478","-0.14912663","-0.36659533"
"1703214461_94854"," 0.03424394"," 4.48009353"," 1.26648993","-2.83999600","-5.37926485","-0.74676094","-0.29546256","11.08739365"," 2.12922813"," 3.00106757"," 2.68575862"," 1.57851391"," 2.78810415"," 1.72733389"," 1.53820962"," 1.15454279"," 0.38403253"," 1.62662972"," 0.70303880"," 0.97758756","-0.37101693"
"1706550221_92052"," 0.03384706"," 0.08154485","-2.72616358","-0.74400792","-1.03324814"," 0.11156027","-3.00516736","12.83259980"," 2.12902423"," 2.99736823"," 3.86010827"," 1.54458033"," 2.06042548"," 2.13453286"," 2.12088600"," 1.35810926"," 0.38438360"," 1.50218602"," 0.69963278","-1.66058268","-0.37075050"
"1703923193_50425"," 0.03399643"," 2.59700531"," 1.48498775","-2.55794561","-3.17514132"," 0.79904199","-1.78478152","11.48515385"," 2.12947239"," 2.81113643"," 3.41228828"," 1.75598815"," 2.78851633"," 1.70358202"," 2.03461629"," 1.14524377"," 0.38426237"," 1.52976328"," 0.69426266","-0.88371761","-0.36448496"
"1704002042_0229"," 0.03390943"," 0.28052896","-0.59451034","-1.79095793","-2.20164303","-0.29319685","-0.88879474","12.29932561"," 2.12860415"," 2.82018783"," 4.38807738"," 1.62347906"," 2.55890113"," 1.93010472"," 2.06387098"," 1.25086000"," 0.38431564"," 1.60681048"," 0.70229534","-0.82363915","-0.37557230"
"1700915211_34287"," 0.034497399"," 2.687589848","-0.003037035","-1.846331088","-3.333203463"," 1.506837312","-1.885952535","11.155569741"," 2.129758498"," 3.515968290"," 2.765827717"," 1.815373911"," 2.517632571"," 1.622698489"," 1.805577500"," 1.238726929"," 0.383710323"," 1.577656075"," 0.687221049","-0.948230351","-0.353672321"
"1706513042_95204"," 0.03470247","-0.87137056","-1.64237735","-0.34862169","-2.69488176"," 0.51855777","-1.24154286","11.89304691"," 2.12812082"," 2.67761052"," 4.44592215"," 1.77783686"," 2.37744378"," 1.64394385"," 1.83186258"," 1.18352467"," 0.38394173"," 1.53882269"," 0.69603118","-1.15149968","-0.37008597"
"1703438547_11381"," 0.03416711"," 4.33338032","-0.25219940","-3.58758079","-0.83152292","-1.14513709","-3.15966234","12.07005687"," 2.12895023"," 3.31383469"," 3.13156792"," 1.91202810"," 2.32535520"," 2.43072298"," 3.05457823"," 1.47059938"," 0.38415470"," 1.48149191"," 0.70431042"," 0.34629041","-0.37361225"
"1706505438_068"," 0.03421485"," 2.09453485"," 1.95548489","-2.12605298","-4.28364851"," 1.37399047","-0.99789976","12.58625163"," 2.12995648"," 2.78823656"," 3.53010775"," 1.98101506"," 2.70961895"," 1.37606679"," 1.64299850"," 1.25708765"," 0.38407058"," 1.64649058"," 0.68505723","-2.50921662","-0.35831289"
"1704076255_36942"," 0.03415991"," 1.56019670"," 1.12224909","-1.06566914","-4.47368258"," 0.78136133","-1.11126370","13.36613362"," 2.12874115"," 2.79951111"," 3.70983072"," 1.72653277"," 2.59159284"," 1.64310911"," 1.71017890"," 1.13761727"," 0.38395869"," 1.59402416"," 0.69082565","-2.71030457","-0.36275264"
"1706461821_98187"," 0.03476953"," 4.69303827"," 1.25451021","-2.56623403","-3.75379475"," 1.37041294","-2.07208226","11.95564958"," 2.12974053"," 3.08886081"," 3.06227817"," 1.45390764"," 2.61718972"," 1.39302975"," 1.90799790"," 1.17443832"," 0.38352051"," 1.49315729"," 0.69078278","-1.75061179","-0.35861450"
"1703631287_94513"," 0.03467158","-2.58016901","-3.29605289"," 0.80996509","-1.46947178"," 0.48999484","-2.53862009","12.90325871"," 2.12919020"," 2.88107370"," 5.36164650"," 1.91420581"," 2.13499407"," 1.92246560"," 2.14041449"," 1.23792397"," 0.38471634"," 1.55861810"," 0.69226965","-2.13231645","-0.36815998"
"1703281468_71079"," 0.03449080"," 0.10675266"," 0.74693836","-0.52010785","-5.21235754","-0.10821541"," 0.01509792","12.08459350"," 2.12982196"," 2.69834523"," 2.45556994"," 1.90958300"," 2.28283598"," 1.65113657"," 1.37731516"," 1.10612161"," 0.38480677"," 1.57707786"," 0.70113555","-0.73552697","-0.37137055"
"1701031557_70982"," 0.03443157"," 1.40960893"," 0.73765897","-2.06779143","-4.17295353"," 0.38079592","-0.07334304","12.08841481"," 2.12928989"," 2.98475203"," 3.57433383"," 1.99084571"," 2.90072297"," 1.74365110"," 1.80825532"," 1.22035635"," 0.38431853"," 1.74425948"," 0.69551505","-1.08333542","-0.36527750"
