"run","delta_pop","gamma_pop","km0scale_pop","tBegin_pop","offset_pop","omega_delta","omega_gamma","omega_km0scale","omega_tBegin","omega_offset","a"
"1674330292_82331","-0.654664096","-6.937838732"," 6.228803822","-0.196588795"," 2.080010484"," 1.037267104"," 3.607030798"," 0.062008489"," 0.289217898"," 0.008995536"," 0.031514706"
"1674328397_11605","-0.62065471","-7.16257224"," 6.23308544","-0.19586548"," 2.08033398"," 1.02319197"," 3.79071337"," 0.06562687"," 0.28952217"," 0.00721578"," 0.03146234"
"1674325012_85425","-0.710560900","-7.073338537"," 6.230494970","-0.196386868"," 2.080076110"," 1.102088476"," 3.815575802"," 0.064228633"," 0.289558986"," 0.006416787"," 0.031470155"
"1674326147_34106","-0.708842666","-6.944107651"," 6.232157015","-0.195706378"," 2.080868194"," 1.184626148"," 3.666394705"," 0.062811195"," 0.288829951"," 0.006044792"," 0.031493650"
"1674331046_60519","-0.683546749","-7.371548933"," 6.230408007","-0.196066824"," 2.080072577"," 1.063462787"," 4.055279441"," 0.062717451"," 0.288985562"," 0.008484963"," 0.031485382"
"1674324621_37469","-0.641741220","-7.026261867"," 6.230428468","-0.196100276"," 2.080770613"," 1.011536295"," 3.555106487"," 0.062472816"," 0.289120242"," 0.006324689"," 0.031473886"
"1674327037_65707","-0.647421492","-6.883685986"," 6.234249175","-0.195992026"," 2.081458448"," 1.095255650"," 3.487993654"," 0.062918535"," 0.289807115"," 0.006853758"," 0.031508192"
"1674328212_52017","-0.761103287","-6.878431033"," 6.229720629","-0.196075659"," 2.080515614"," 1.367986706"," 3.730394154"," 0.065275292"," 0.288911706"," 0.005740795"," 0.031496847"
"1674326978_47391","-0.802776887","-6.647891076"," 6.228269025","-0.196720374"," 2.079722508"," 1.387743945"," 3.568668982"," 0.063255354"," 0.289430215"," 0.007677999"," 0.031534976"
"1674328259_59733","-0.882949894","-6.865669488"," 6.229695223","-0.196245002"," 2.080374685"," 1.364686172"," 4.009384092"," 0.063887485"," 0.289000990"," 0.007380182"," 0.031506007"
"1674331099_22204","-0.767553875","-6.947955082"," 6.233066161","-0.195926065"," 2.081290896"," 1.376568786"," 3.758674617"," 0.062988556"," 0.289325614"," 0.005667243"," 0.031488714"
"1674329643_44976","-0.794140673","-6.735276778"," 6.229975528","-0.196376586"," 2.080522979"," 1.259765059"," 3.667630949"," 0.061656661"," 0.289243579"," 0.006982075"," 0.031493091"
"1674328447_07345","-0.957166386","-6.562666833"," 6.231773528","-0.196197765"," 2.081215573"," 1.583911382"," 3.788208503"," 0.063209006"," 0.289358559"," 0.009128061"," 0.031502563"
