"","X","run_1700915211_34287","run_1701031557_70982","run_1700838044_73318","run_1700875268_66656","run_1700999539_47222","run_1700838044_72516","run_1700993838_5818","run_1700952806_63357","run_1701035005_32203","run_1700874790_04127","run_1700955884_43193","run_1700912719_49373"
"1","a",0.0344973991436337,0.0344315725288927,0.0352469491938559,0.0349636273143366,0.0352297775057913,0.0366496180546588,0.0363858356842383,0.0365591647787148,0.0370514467938589,0.0371366761387617,0.0399291490211499,0.040065584978487
"2","delta1m0_pop",2.68758984846091,1.40960892532882,-2.54785589190655,1.22483439961296,1.24253465677203,-3.71920619455347,-1.57060460778295,3.8393843482784,0.722554906356388,0.340375985282216,1.5104272417365,2.24472326767269
"3","delta2_pop",-0.00303703457229594,0.737658971186796,-0.201455741080736,0.578362411306848,-0.715973268885585,-2.80507644130975,-1.50885115079958,0.48026008296786,-0.495309925727237,1.76938418920499,-1.23409868701573,-1.19562412326929
"4","e0_m0_pop",-1.84633108802692,-2.06779142851024,0.906634703570959,-1.49161288583544,-1.08280776779689,1.20506015883712,0.286122996369947,-1.67304095748258,0.436241569533674,-0.142337446837788,-0.191187089388558,-0.416152395178569
"5","gamma_pop",-3.33320346343886,-4.1729535284532,-4.03453870416875,-4.61358365445279,-2.15404726499584,-2.56748258516796,-1.12254076825763,-5.60437945648695,-4.26281200784425,-5.12834069371333,-3.50505032693046,-4.01566675757839
"6","k1m0_pop",1.50683731152344,0.380795917123457,1.28592363481786,0.592036850254573,-0.644012370726344,0.80857432195483,-1.32592899869783,1.27647393095465,0.652289033748239,1.14871724535378,1.014941692836,-1.38168225417169
"7","k2_pop",-1.88595253497013,-0.073343040549136,-0.303824867854992,-0.240971685271204,-2.64536060425367,-0.664803537582231,-2.74189645738163,-0.479387194688964,-1.66960535926912,-0.680827221353151,-1.69239908188759,-1.0317223129439
"8","k2m0scale_pop",11.1555697408642,12.0884148082921,12.7041801586941,11.6780795652703,11.7274468577629,12.9660074290775,13.2086266439453,11.7176428118707,11.8518995903609,13.1967947876873,11.128292734904,12.1224381344161
"9","offset_pop",2.12975849791124,2.12928988823445,2.13036515045632,2.1302151808891,2.12946632338997,2.12991750615919,2.13021379338661,2.13300303585845,2.13022126436183,2.13264559485921,2.13291554767279,2.13483447574486
"10","omega_delta1m0",3.51596828956816,2.98475202960141,2.43374675575697,3.11069765464889,3.19373634557907,2.56214271117262,3.71024010925422,3.09368092467112,3.20760535991996,2.90928217226402,4.06103910636626,3.9101690796799
"11","omega_delta2",2.76582771669407,3.57433383333487,3.68242335685153,2.91125473650437,3.64626227800909,6.71471877972764,4.27095848945962,2.54122887575492,2.68785434523927,3.23459894643927,2.68092463692114,3.33190140603754
"12","omega_e0_m0",1.81537391103011,1.99084571332398,1.9543366259736,2.01329882457169,1.76398061216652,1.98902401286227,2.20373989147528,1.54265418608215,1.83298543195519,2.09630519812435,1.94697845163286,2.04729546010562
"13","omega_gamma",2.51763257137832,2.90072296961182,2.53921905063921,2.82087946435529,2.80832197643138,2.44562547064514,2.77438416679702,2.27926948053763,2.42306996448556,2.28233280372897,2.55446922141412,2.98980862265847
"14","omega_k1m0",1.62269848880425,1.74365109852641,1.41549366156206,1.76939787271827,2.16163375115833,1.73725947284371,2.52287950406849,1.52865067456041,1.76567497739104,1.85934644022581,1.97301475107103,2.02887921776424
"15","omega_k2",1.80557750027358,1.80825532093869,1.55538081728889,1.58875840200642,2.42118400482088,2.02617491830524,2.34888533768058,1.60924953101017,1.82364547121699,1.5227431836989,1.7873661146111,2.37814205081799
"16","omega_k2m0scale",1.23872692903155,1.22035634612844,1.15520027760994,1.25201758452149,1.34172211354383,1.11526502296193,1.58716218766214,1.07409026347847,1.05230581206162,1.14642381579513,1.27941177181134,1.25969196151732
"17","omega_offset",0.383710323164277,0.384318530141548,0.383914603395087,0.383975516173192,0.383835633596203,0.384192039237791,0.384416018051252,0.384499328187242,0.383172603889696,0.384973127006448,0.383620694294165,0.384966420534826
"18","omega_r0_m0",1.57765607541919,1.74425948241575,1.46335061777272,1.73387940493332,1.70578758738629,1.55482489477901,1.70361445344567,1.51134485874212,1.66876453144031,1.66074361372031,1.64974955011054,1.8955391423893
"19","omega_tBegin",0.687221048855978,0.695515048387937,0.687482968162211,0.686296284413291,0.701367243271914,0.696253824545662,0.698248029394573,0.678760248360329,0.686970524203451,0.683011557032178,0.673287788896324,0.680364814321468
"20","r0_m0_pop",-0.94823035055376,-1.08333541550794,-2.56151290006832,-0.816122446901489,0.2533836207297,-2.40765846521377,-0.531651343130699,-1.04659387032163,-0.681331750695477,-2.64479065435924,0.0347226008779466,1.37658231590222
"21","tBegin_pop",-0.353672321294253,-0.365277504215098,-0.358207431902125,-0.358964334527944,-0.369882195918391,-0.365344324772757,-0.368247348852504,-0.343026187700883,-0.351158191788734,-0.348892539565436,-0.338813166244163,-0.342602276414306
