X,OFV,AIC,BIC,BICc,chosenDegree,standardError,run
40,-65419.1471678044,-65377.1471678044,-65322.4385938987,-65265.3160685389,5,28.0783737820383,1700887799_57391
24,-64886.106884678,-64844.106884678,-64789.3983107722,-64732.2757854124,5,31.1045249843468,1700866963_85799
32,-64787.2836523782,-64745.2836523782,-64690.5750784725,-64633.4525531127,5,31.158746412112,1700876626_13649
49,-64679.9330073697,-64637.9330073697,-64583.2244334639,-64526.1019081041,5,32.1081494238748,1700899676_61728
17,-64608.465521912,-64566.465521912,-64511.7569480063,-64454.6344226465,5,28.0341503626675,1700858855_91348
50,-64599.5561815926,-64557.5561815926,-64502.8476076869,-64445.7250823271,5,30.5203422425752,1700900587_46669
10,-64522.1563998704,-64480.1563998704,-64425.4478259647,-64368.3253006049,5,32.9938100338329,1700848556_23323
33,-64498.9676584368,-64456.9676584368,-64402.259084531,-64345.1365591712,5,60.6014595964217,1700877746_82828
45,-64386.6577170912,-64344.6577170912,-64289.9491431855,-64232.8266178257,5,27.1513053891852,1700893881_26421
17,-64365.3751087578,-64323.3751087578,-64268.6665348521,-64211.5440094923,5,23.526503717741,1700858522_26621
16,-64332.9548271775,-64290.9548271775,-64236.2462532718,-64179.123727912,5,20.8127201694262,1700857322_81691
23,-64322.6504940413,-64280.6504940413,-64225.9419201355,-64168.8193947757,5,35.5338084516259,1700865662_76514
34,-64299.1937070754,-64257.1937070754,-64202.4851331696,-64145.3626078098,5,24.5633474338946,1700879985_45419
42,-64286.2919293436,-64244.2919293436,-64189.5833554378,-64132.460830078,5,32.1769257110402,1700888354_91419
22,-64252.1858234113,-64210.1858234113,-64155.4772495055,-64098.3547241457,5,28.5680496957496,1700864442_21126
18,-64227.0702148746,-64185.0702148746,-64130.3616409689,-64073.2391156091,5,38.3263450018971,1700859844_0629
31,-64210.8024583752,-64168.8024583752,-64114.0938844695,-64056.9713591097,5,32.1857986213944,1700876134_7479
34,-64208.6352129068,-64166.6352129068,-64111.926639001,-64054.8041136412,5,33.0473871490042,1700879234_36362
37,-64145.5851953065,-64103.5851953065,-64048.8766214008,-63991.754096041,5,42.6643058342223,1700883860_29714
2,-64096.824356992,-64054.824356992,-64000.1157830863,-63942.9932577265,5,29.5379833715273,1700839517_43502
26,-64003.4458734773,-63961.4458734773,-63906.7372995716,-63849.6147742118,5,75.8596551936523,1700869383_99597
31,-63912.3282184434,-63870.3282184434,-63815.6196445376,-63758.4971191779,5,25.9202547480082,1700875559_75646
20,-63868.9683703986,-63826.9683703986,-63772.2597964928,-63715.137271133,5,28.9523323150154,1700862242_06022
35,-63832.6447951515,-63790.6447951515,-63735.9362212458,-63678.813695886,5,36.2254614915992,1700881136_41818
40,-63804.1996230235,-63762.1996230235,-63707.4910491177,-63650.3685237579,5,33.2568136793132,1700886285_92989
41,-63771.9759097067,-63729.9759097067,-63675.267335801,-63618.1448104412,5,30.0299438553596,1700887342_12109
39,-63758.4760855203,-63716.4760855203,-63661.7675116146,-63604.6449862548,5,31.8734867832414,1700886418_04629
29,-63748.4132119867,-63706.4132119867,-63651.704638081,-63594.5821127212,5,39.1298987376811,1700873286_55188
15,-63711.9013472307,-63669.9013472307,-63615.192773325,-63558.0702479652,5,35.7940885433145,1700855780_25811
19,-63579.8094855138,-63537.8094855138,-63483.1009116081,-63425.9783862483,5,47.6275478383153,1700861048_19177
10,-63457.1703516671,-63415.1703516671,-63360.4617777613,-63303.3392524016,5,28.6973261268819,1700850122_46754
25,-63448.3432826613,-63406.3432826613,-63351.6347087556,-63294.5121833958,5,47.3963222635387,1700868036_73954
50,-63428.6155828301,-63386.6155828301,-63331.9070089244,-63274.7844835646,5,36.8986322185801,1700899068_32675
38,-63423.8623942308,-63381.8623942308,-63327.1538203251,-63270.0312949653,5,34.5024681440555,1700884146_69021
5,-63421.3206042403,-63379.3206042403,-63324.6120303346,-63267.4895049748,5,48.7685658782243,1700842741_4548
19,-63375.3846531599,-63333.3846531599,-63278.6760792541,-63221.5535538943,5,31.3144379585992,1700860809_06465
23,-63365.1555079944,-63323.1555079944,-63268.4469340887,-63211.3244087289,5,74.2780845868519,1700865842_38162
32,-63287.9292441109,-63245.9292441109,-63191.2206702051,-63134.0981448454,5,38.6157496536653,1700877252_99466
18,-63263.0921530814,-63221.0921530814,-63166.3835791757,-63109.2610538159,5,27.5009972293931,1700859694_48979
6,-63257.4683792565,-63215.4683792565,-63160.7598053508,-63103.637279991,5,45.1050433978698,1700843903_37153
