,run_1674321577_1541,run_1674331513_70905,run_1674342593_27439,run_1674353194_58459,run_1674363267_05724,run_1674375960_26887,run_1674387524_92691,run_1674401290_92559,run_1674408709_55397,run_1674426305_98274,run_1674437458_91463,run_1674449511_72386,run_1674459184_12144,run_1674470243_60069,run_1674481491_93332,run_1674495217_23514,run_1674508994_89958,run_1674522085_7989,run_1674535998_34833,run_1674547225_61243,run_1674562930_42688,run_1674575979_67557,run_1674587012_58369,run_1674600215_987,run_1674607798_302,run_1674617704_87985,run_1674636454_57705,run_1674646395_61913,run_1674663382_20899,run_1674676161_39852,run_1674686889_99755,run_1674697071_23942,run_1674709402_07786,run_1674726259_12675,run_1674736782_38407,run_1674753437_87378,run_1674764942_5687,run_1674774559_18823,run_1674785440_65921,run_1674318653_47431,run_1674332681_3369,run_1674343691_03641,run_1674355031_17877,run_1674365583_50609,run_1674382535_77492,run_1674393408_95519,run_1674405064_49122,run_1674417855_39486,run_1674439035_17397,run_1674454649_90659,run_1674480678_69547,run_1674495488_86732,run_1674522216_32424,run_1674533385_17286,run_1674556073_12956,run_1674573876_9813,run_1674588534_89408,run_1674617502_45773,run_1674631237_9512,run_1674649944_50249,run_1674662691_87617,run_1674682908_70602,run_1674695121_9996,run_1674715570_14961,run_1674737950_3473,run_1674757567_62537,run_1674768661_34636,run_1674784321_63292,run_1674795128_51714,run_1674807726_71266,run_1674816866_58545,run_1674839192_85647,run_1674853660_26001,run_1674865248_95459,run_1674878065_9159,run_1674886857_75526
delta_pop,-2.22932372748656,-1.24457353338354,-2.25541430222762,-2.1787471215476,-1.9814938534697,-2.26490551543001,-2.27866578205961,-1.70788731978849,-1.26860072307011,-1.21031919725333,-2.1746539582576,-1.99310553769036,-0.934813078447075,-2.28315857615327,-2.25753887865215,-1.33075098740658,-2.21106341291121,-2.343962576544,-1.6818133046338,-2.28193321932866,-1.76692140237597,-0.866080245979998,-1.32402187595393,-1.54786232762987,-1.058515213366,-2.24959450079685,-1.38761546565694,-0.995279999794828,-2.30147172359609,-1.23876147501834,-2.25071069546802,-2.31077888848181,-0.851378098115091,-0.972940599884868,-1.62227020979279,-1.27881070003815,-1.76035682009703,-1.83110710254014,-1.27310546717403,-1.30308471245774,-1.85478569850608,-1.61960444445674,-2.21048330331253,-2.33678155216322,-1.20925499706005,-1.4854086928941,-1.2585903974589,-2.24264256226498,-1.34105105293426,-1.02867975371598,-2.11589424034261,-0.875827237340688,-1.3287514480139,-1.69920975048288,-1.21121204689967,-0.799445329425705,-1.16281355787849,-1.37963053559576,-1.78975805633358,-2.25156904444822,-2.27769492860114,-0.919184923376804,-0.780489781513297,-2.280369965901,-1.31741904157977,-1.8993215416684,-2.2970932181094,-1.25809571652774,-2.14291604939557,-1.44630479138914,-2.24709494734142,-2.26498265304993,-2.03353922284233,-1.1019367284862,-2.20695964231015,-2.11721506282939
gamma_pop,-0.890673367995067,-1.71725135586393,-0.736088576933683,-0.92090540408729,-1.06694466814383,-0.757812542541306,-0.723874794774106,-1.22852138256926,-1.69406262709816,-1.74522615130217,-0.948183502112314,-1.04520318767115,-2.15555410778139,-0.796034901710728,-0.901849388066216,-1.61702248141696,-0.717152813193061,-0.750440738998922,-1.27437637545036,-0.850100779165978,-1.21004410153568,-2.23882299327431,-1.62653602815904,-1.36256015123272,-1.9523921178429,-0.699309482725483,-1.53860124691795,-2.17285651796995,-0.788562924693319,-1.72020682342618,-0.765491783618538,-0.797368364914165,-2.36773209869303,-2.09657568222779,-1.3304182002698,-1.67573961719054,-1.19694410957527,-1.16267526485783,-1.70649849888886,-1.65051972854192,-1.13756213058623,-1.32052186137951,-0.714061629973508,-0.715425782098165,-1.73485073666763,-1.4465337386099,-1.68346169962323,-0.897241790191437,-1.63292578133682,-2.11169228604666,-0.992206243196705,-2.61159566968327,-1.60127343037853,-1.30676593558808,-1.76499320572037,-2.30321431811538,-1.93124005340897,-1.55414323135169,-1.19577389755836,-0.865682019547538,-0.896278757596934,-2.19008395981368,-2.37774068542411,-0.897210180993045,-1.66038682817127,-1.1255015097852,-0.816057484682856,-1.67862310985229,-0.960157565456062,-1.47023675553828,-0.921584495685129,-0.887658919365534,-1.01361537917043,-1.90555524564064,-0.702099708819617,-0.672350504976141
km0scale_pop,0.0146125511292782,0.0256470193423496,0.0146476929382971,0.0146908046602288,0.0145906609876385,0.014667737780081,0.0385538334672744,0.0146167611917772,0.0194466811956546,0.0145554329711226,0.0149180635695912,0.0146603151226979,0.0143817919258188,0.0147021814864723,0.0311031282503936,0.0145412169965249,0.0153582271456082,0.0413401839020831,0.0146613085834798,0.0146620544672292,0.0145424145181329,0.0144373432653957,0.015986255976506,0.014634615906729,0.0144305205596098,0.0407689050164393,0.015573044885823,0.0541317226320231,0.0252146284108639,0.0148096229446096,0.0146698731848732,0.0200182342846666,0.0574920641540271,0.0152699107343552,0.0202302843446703,0.0146536191640791,0.0146051409582888,0.0209113852864431,0.0433342233189081,0.0160654660021013,0.0146147496196963,0.0211267647012185,0.0148004476173854,0.0577077560702745,0.0144844518324878,0.0213888200068996,0.0145026284202017,0.0159937887542781,0.038904253208625,0.0400193073131549,0.014666910523779,0.120912659992282,0.0144876305277458,0.0476386466893012,0.019201675854274,0.0189421582042847,0.0592364822024486,0.0144888391672195,0.0145869383559672,0.0147499073282222,0.0343988978954661,0.0224343323417069,0.0498915492242317,0.0357928640636768,0.0426924758271583,0.0299969981470479,0.0263779608172899,0.0217210632367944,0.0146197319158682,0.0145738989226535,0.0359811583824079,0.0312360222417714,0.0146518564456978,0.0144362599833192,0.0147683326661154,0.0147839513959316
tBegin_pop,-2.86677515710325,-2.87025761924394,-2.86667452468504,-2.86609884791003,-2.86588696360181,-2.8672562330996,-2.87971126268883,-2.86480920792121,-2.86706560545711,-2.86604283569814,-2.86662966276683,-2.86559092942724,-2.86558551010485,-2.86651551406332,-2.87229548317511,-2.86624371738008,-2.86790559841757,-2.87828180625874,-2.86606178823596,-2.86746700945594,-2.86587332305571,-2.86593790780489,-2.86716148376072,-2.86442185304317,-2.86485741615293,-2.87744300983444,-2.86580831239201,-2.87925306842664,-2.86999965251403,-2.8660433694717,-2.86606884990898,-2.86841592558156,-2.8821124821297,-2.86785755302591,-2.86888577663558,-2.8664801752156,-2.86535276702383,-2.86696277953876,-2.874665883315,-2.86719296552074,-2.86557109302854,-2.86821094161087,-2.86708528060251,-2.88889644177157,-2.86478463606812,-2.86696211778685,-2.86560671431504,-2.86787961901365,-2.87530285618318,-2.87410133180862,-2.86668349549779,-2.91344990666568,-2.86600859312384,-2.87762313585517,-2.86775755321563,-2.86905563742855,-2.88175735282026,-2.86641612150728,-2.86617772055714,-2.86655756033724,-2.87463362015927,-2.86780724840182,-2.8783496415161,-2.87496701286287,-2.8771618189839,-2.8719752714017,-2.87307423548581,-2.86852067294321,-2.866681757093,-2.86542957050362,-2.87677774684555,-2.8729371535047,-2.86565210764265,-2.86555255967045,-2.86665630213698,-2.8669784776717
offset_pop,0.0089942149165731,0.0094730596640541,0.0091232481000498,0.0093610764431923,0.0092130809167069,0.0090577138735393,0.0105574834085545,0.0091121331399187,0.0099841007080634,0.0091423473070009,0.0091683948100765,0.0092808319478907,0.0090526612718623,0.0091540163251394,0.0096521259554091,0.0090934607934835,0.0095531512481084,0.0100635821874459,0.009114275397314,0.0090652897923588,0.0090863316921855,0.0090504345596745,0.0093863832682956,0.0091536590737627,0.0091375580205339,0.0111274750813293,0.0092813312814168,0.0102585277882019,0.0100265677543913,0.0092184468852807,0.0092722398959085,0.0092450510387945,0.0098877255861183,0.009074873202067,0.0095878169643339,0.0092163246288519,0.0093007095058386,0.0100573241583211,0.0099188671719845,0.0091315201275298,0.0092689151135155,0.0094987146710039,0.009195740154765,0.0107058781327306,0.0092168530710426,0.0093605563127636,0.0091403408297735,0.0091788533559939,0.0100475815979485,0.0091819622078634,0.0094556744014873,0.0135533947547779,0.009114054583798,0.0106701814596234,0.0093057939953279,0.010015270104636,0.0113339364758576,0.0091731008230405,0.0090357832000507,0.0092114267475029,0.0103409972740933,0.0095965847022525,0.0108731794739726,0.0103488605418454,0.009755694909362,0.0100342729585707,0.0100428571380762,0.0096568962030944,0.0091864614992577,0.0091722485857474,0.0106547684725996,0.010012965509863,0.0091568727489991,0.0090859150060467,0.0092367649339432,0.0090956495016277
omega_delta,1.00763074532044,1.14235034844705,1.00325731295172,1.0067562016033,1.01876822774329,1.00377252070456,1.00269211942587,1.03368103057411,1.1316286932592,1.15070467810641,1.01189682773678,1.01273904568895,1.23307771768064,1.00479647982234,1.00931335918194,1.11715400934018,1.00289703079206,1.00381728450688,1.04321437653391,1.00734029654075,1.0341000745567,1.25501661639115,1.13375620708478,1.06393018099607,1.19334213362417,1.00238909903994,1.09447853929197,1.22525783033502,1.00511445716704,1.14788957861179,1.00308941235524,1.00587308738715,1.26644372822241,1.22026045212682,1.05530202237113,1.14102356838084,1.0288988604385,1.02926097360059,1.13391656947332,1.12388149552104,1.0209555986673,1.04858306923565,1.00278891919228,1.00242220381519,1.15528056426694,1.07905905786142,1.13285423913257,1.00987948282896,1.1179934206891,1.20993496845312,1.01350697330169,1.27845389798388,1.11553238471713,1.05637306028263,1.15696293396328,1.27284758034935,1.17863086905271,1.10848370625553,1.03588787442562,1.00667892306638,1.00953918154066,1.2358398671721,1.27678601470466,1.01000509483204,1.11779801290461,1.02376918890315,1.0051505727815,1.13772163894915,1.01098622739626,1.08858319381885,1.01040761990675,1.0080095717894,1.01175323154496,1.18993783242932,1.00239057865451,1.00220037727819
omega_gamma,1.25961526236432,1.04814672046184,1.28933759613892,1.26259008907631,1.21162516117644,1.29357825843579,1.31127903738093,1.15187204896861,1.05583399868569,1.03971047732419,1.24692928536274,1.22183575557438,1.0104403754035,1.28342583909198,1.26147521561254,1.06400543827202,1.29758500241802,1.29945979081215,1.15328448326938,1.27651651148662,1.17185502821022,1.00791120103573,1.0578338724706,1.10674530787807,1.01773057140568,1.3104186942603,1.08549088268803,1.0194939248974,1.28839549354578,1.04459487625966,1.29137409811542,1.28338602575244,1.00875759163607,1.0127913383655,1.13300996257887,1.04768197514383,1.16845441181442,1.18277049294382,1.05464248970735,1.06211482325386,1.19666504081032,1.14041674150457,1.2999756175303,1.31827449572301,1.03612626351094,1.100529365167,1.05069587686881,1.25990653844123,1.07230567810296,1.02483317992091,1.24542400524417,1.01053306459255,1.06652849321868,1.1460867099856,1.03974084682405,1.00591937365637,1.03917097736506,1.07290793618989,1.16849521701201,1.2618091047165,1.27083718952023,1.01047182656348,1.00590298259373,1.27303020706279,1.06969128368359,1.19516010140352,1.29218308235437,1.04670437398067,1.24466097003661,1.08295785661831,1.27850569023829,1.26984182311249,1.22317080879309,1.02355763426482,1.29480103286305,1.30330668854698
omega_km0scale,1.07276276373698,1.01596198500199,1.07751912334829,1.07225407664859,1.06797099651447,1.0759984423829,1.01547031374839,1.06164582024085,1.02672446421645,1.04221455991185,1.07034415645409,1.06860622703913,1.03307714385611,1.07599896373971,1.02062709386557,1.04713181126063,1.07131915903603,1.01329442964407,1.05962335406625,1.07372645654643,1.06225214174192,1.03089534708508,1.03955607022219,1.055523574131,1.03680956500773,1.01380498638537,1.04414720381804,1.00349164066841,1.02976457240101,1.04218564427164,1.07572376124267,1.0441119753177,1.00241452704927,1.0310106955866,1.03351825462505,1.04456225207567,1.06217929697866,1.03490002831096,1.00656398162451,1.03899583867055,1.06453765897876,1.03104787700985,1.07622605877562,1.00875666664339,1.04356680565856,1.02745032134913,1.04490465201044,1.06290864847084,1.00894859067497,1.00601184929567,1.06945325264028,1.00231355307757,1.04852148950033,1.00878212717175,1.02620087692424,1.01782399908058,1.00364136954243,1.04977281485201,1.06297468015702,1.07359722464154,1.01746303004732,1.01447080087538,1.002793340849,1.01635514693421,1.00714246881723,1.01999147690561,1.02775873104773,1.02190112308351,1.07158638740123,1.05176291581925,1.01665199155859,1.02047133868819,1.06955316201793,1.03857313939009,1.07624818392768,1.07695699370689
omega_tBegin,1.00021746125129,1.00022509312978,1.00023379150529,1.00022010967097,1.00020164298692,1.00022865549465,1.00027626578137,1.0001850125075,1.00013236490911,1.00022074900641,1.00021819908157,1.00020645379728,1.00008297941803,1.00023341873612,1.00024625401098,1.00013237329356,1.00023263719903,1.00026520057509,1.00018077516448,1.00022128880755,1.0001861386851,1.00007753484088,1.00012996647353,1.00016430947627,1.00009984772714,1.00027221738754,1.00014530329223,1.00010135996032,1.00024809596633,1.0001197487465,1.0002290479336,1.00023992296397,1.00008169872728,1.00029034665957,1.00017658079485,1.00012882336715,1.00018414246555,1.00020199571901,1.00013969847598,1.000130783852,1.00019436899789,1.00017830050144,1.00023635275808,1.00027377309372,1.00012231932141,1.00016238545177,1.00013767426142,1.00022769564786,1.00015346415659,1.00010584397043,1.0002129495174,1.00019369355411,1.00013520742425,1.00030972130394,1.00012340842826,1.00007094541462,1.00013617722977,1.00024007349925,1.00018713519377,1.00022215416707,1.00025177825175,1.00008627682498,1.00007683158939,1.00025135176663,1.00014758021065,1.00021936655057,1.00024913327093,1.00013050322665,1.00031461532342,1.00015018462104,1.00025164889173,1.00024522621557,1.00020807004246,1.00010106713056,1.00023513219587,1.00023417008482
omega_offset,102.952305742715,15.2275988522998,43.391761821526,19.4655317120621,28.7110382056659,57.3071205872178,6.47599946407217,39.6970688617069,7.89854933324485,33.0681907924601,32.7726497245681,23.076275546881,44.658063884712,36.7758610482033,13.2893710878656,39.1805148794013,14.1326800237331,9.01535387002897,39.1316666440532,52.5217386221026,49.0256636353502,43.4467991845662,16.9266282883227,32.5715811206583,32.5530352868985,4.14487737056208,22.0469542565647,7.0320882085798,8.2147207438198,24.7718591399802,24.3880193062983,32.3223205805428,9.51504154647933,44.4880026677746,12.8507369397959,25.6936887423868,21.4668507828427,7.63122737148238,8.93372973561006,33.4633031708879,23.4828805484722,15.4475027752699,29.8901336384405,5.97518275952923,25.9119220010764,18.5610596953839,32.4929166628291,32.0255460715623,8.46781793029179,41.2813720551998,15.9592694815599,2.42496325854918,36.2753390073273,5.57263086963821,20.7996635030147,7.48373532452593,3.84704784298784,29.4080963471326,61.6076108207388,27.979719441737,6.85336371603343,12.5194581820391,4.99618624441651,6.75889651580158,10.9305094009424,8.43684182065489,8.23060011434961,11.5075297956716,30.1777217314574,30.6495561447336,5.75728880410038,8.55402587159817,32.9033504457291,39.5055589598766,28.3885529561297,46.7705864908557
