"X","OFV","AIC","BIC","BICc","run"
35,-70518.9634786877,-70496.9634786877,-70468.3066066418,-70437.1488655365,"1674354939_80154"
10,-70512.988516507,-70490.988516507,-70462.3316444611,-70431.1739033558,"1674351241_1646"
74,-70506.7731662253,-70484.7731662253,-70456.1162941794,-70424.9585530741,"1674360946_61471"
3,-70462.2372918505,-70440.2372918505,-70411.5804198046,-70380.4226786993,"1674350055_28877"
42,-70422.785845426,-70400.785845426,-70372.1289733801,-70340.9712322748,"1674356112_15885"
71,-70421.6541572976,-70399.6541572976,-70370.9972852517,-70339.8395441464,"1674360454_76033"
16,-70412.1426224125,-70390.1426224125,-70361.4857503667,-70330.3280092613,"1674352158_67277"
48,-70407.0225816916,-70385.0225816916,-70356.3657096457,-70325.2079685404,"1674357044_80931"
15,-70395.4042787562,-70373.4042787562,-70344.7474067103,-70313.589665605,"1674352072_009"
28,-70394.4738585549,-70372.4738585549,-70343.816986509,-70312.6592454037,"1674353774_01256"
19,-70381.3194291689,-70359.3194291689,-70330.662557123,-70299.5048160176,"1674352554_18897"
21,-70379.9997636021,-70357.9997636021,-70329.3428915562,-70298.1851504509,"1674352933_80421"
9,-70356.2767962073,-70334.2767962073,-70305.6199241615,-70274.4621830561,"1674351053_34169"
2,-70347.1450250324,-70325.1450250324,-70296.4881529865,-70265.3304118812,"1674349960_04085"
5,-70332.4909492941,-70310.4909492941,-70281.8340772482,-70250.6763361429,"1674350347_84406"
41,-70330.0418182563,-70308.0418182563,-70279.3849462104,-70248.2272051051,"1674355988_05337"
75,-70322.9778538208,-70300.9778538208,-70272.3209817749,-70241.1632406696,"1674361075_39752"
43,-70295.3042115096,-70273.3042115096,-70244.6473394638,-70213.4895983584,"1674356300_43566"
90,-70289.9827185609,-70267.9827185609,-70239.3258465151,-70208.1681054097,"1674363373_08176"
6,-70277.1090178957,-70255.1090178957,-70226.4521458498,-70195.2944047445,"1674350522_72268"
57,-70274.1876243407,-70252.1876243407,-70223.5307522948,-70192.3730111895,"1674358408_51176"
66,-70265.9985947219,-70243.9985947219,-70215.341722676,-70184.1839815706,"1674359754_86136"
11,-70261.2049635587,-70239.2049635587,-70210.5480915128,-70179.3903504075,"1674351409_97043"
13,-70255.6507921237,-70233.6507921237,-70204.9939200778,-70173.8361789725,"1674351773_90763"
80,-70216.8009850462,-70194.8009850462,-70166.1441130003,-70134.986371895,"1674361897_61467"
62,-70203.9931943069,-70181.9931943069,-70153.336322261,-70122.1785811557,"1674359197_2378"
55,-70186.3428133914,-70164.3428133914,-70135.6859413456,-70104.5282002402,"1674358126_7656"
82,-70172.1508896973,-70150.1508896973,-70121.4940176515,-70090.3362765461,"1674362203_522"
76,-70141.6825653958,-70119.6825653958,-70091.02569335,-70059.8679522446,"1674361241_80537"
93,-70131.7324257341,-70109.7324257341,-70081.0755536882,-70049.9178125829,"1674363759_01209"
32,-70129.458659171,-70107.458659171,-70078.8017871252,-70047.6440460198,"1674354452_00584"
85,-70118.712341444,-70096.712341444,-70068.0554693982,-70036.8977282928,"1674362657_76637"
44,-70113.3197454902,-70091.3197454902,-70062.6628734443,-70031.5051323389,"1674356447_35931"
25,-70101.5974748457,-70079.5974748457,-70050.9406027998,-70019.7828616945,"1674353332_92948"
78,-70099.9791619261,-70077.9791619261,-70049.3222898802,-70018.1645487749,"1674361549_00436"
56,-70099.9676890826,-70077.9676890826,-70049.3108170367,-70018.1530759314,"1674358280_87853"
33,-70095.9985656916,-70073.9985656916,-70045.3416936457,-70014.1839525404,"1674354608_1939"
27,-70095.9123070634,-70073.9123070634,-70045.2554350176,-70014.0976939122,"1674353679_42973"
7,-70092.869784927,-70070.869784927,-70042.2129128811,-70011.0551717758,"1674350680_94856"
86,-70090.7490375866,-70068.7490375866,-70040.0921655407,-70008.9344244354,"1674362825_82444"
53,-70078.7008748828,-70056.7008748828,-70028.0440028369,-69996.8862617315,"1674357832_42089"
88,-70067.925089028,-70045.925089028,-70017.2682169821,-69986.1104758767,"1674363195_74917"
8,-70060.2262172538,-70038.2262172538,-70009.5693452079,-69978.4116041026,"1674350822_39314"
39,-70057.9512924362,-70035.9512924362,-70007.2944203903,-69976.136679285,"1674355643_26249"
46,-70056.6709544297,-70034.6709544297,-70006.0140823838,-69974.8563412785,"1674356684_34382"
59,-70056.0858222646,-70034.0858222646,-70005.4289502188,-69974.2712091134,"1674358684_28649"
31,-70042.2148696444,-70020.2148696444,-69991.5579975985,-69960.4002564932,"1674354308_87378"
83,-70037.4780023396,-70015.4780023396,-69986.8211302938,-69955.6633891884,"1674362362_15869"
45,-70036.9117328863,-70014.9117328863,-69986.2548608404,-69955.0971197351,"1674356590_37515"
23,-70034.6664836282,-70012.6664836282,-69984.0096115823,-69952.851870477,"1674353148_38778"
92,-70026.986742857,-70004.986742857,-69976.3298708111,-69945.1721297058,"1674363652_52945"
91,-70026.4373848844,-70004.4373848844,-69975.7805128386,-69944.6227717332,"1674363516_65802"
97,-70026.0193329326,-70004.0193329326,-69975.3624608867,-69944.2047197814,"1674364291_17727"
70,-70010.0639012017,-69988.0639012017,-69959.4070291558,-69928.2492880505,"1674360362_15781"
64,-70009.6667235595,-69987.6667235595,-69959.0098515136,-69927.8521104083,"1674359498_47964"
