"run","delta_pop","gamma_pop","km0scale_pop","tBegin_pop","offset_pop","omega_delta","omega_gamma","omega_km0scale","omega_tBegin","omega_offset","a"
"1674354939_80154","-0.783343115","-7.203807546"," 6.224791861","-0.220880852"," 2.078566914"," 0.927307411"," 3.239452736"," 0.063805090"," 0.304030631"," 0.004467612"," 0.031540526"
"1674351241_1646","-0.78149060","-7.07326121"," 6.22525938","-0.22076409"," 2.07777820"," 0.92648897"," 3.10064145"," 0.06410677"," 0.30411575"," 0.00653644"," 0.03153258"
"1674360946_61471","-0.783948175","-7.144809813"," 6.226246533","-0.220646963"," 2.078566504"," 0.936349303"," 3.154865408"," 0.064767125"," 0.304072202"," 0.007665412"," 0.031533917"
"1674350055_28877","-0.851337377","-6.869354966"," 6.227072683","-0.220452516"," 2.078757503"," 1.126571267"," 3.019143125"," 0.064713875"," 0.303844550"," 0.006565693"," 0.031578086"
"1674356112_15885","-0.966250430","-7.116384941"," 6.227030769","-0.220185477"," 2.078336511"," 1.342900686"," 3.586083907"," 0.065772465"," 0.303291806"," 0.005570475"," 0.031539885"
"1674360454_76033","-0.830586581","-6.992081707"," 6.234645978","-0.219949946"," 2.078567393"," 1.105551253"," 3.118874208"," 0.121327538"," 0.304984987"," 0.005386692"," 0.031642261"
"1674352158_67277","-0.910456072","-6.916909612"," 6.223605055","-0.220972503"," 2.078729758"," 1.240924407"," 3.205979443"," 0.065500709"," 0.303851725"," 0.005589958"," 0.031557169"
"1674357044_80931","-1.013939614","-7.103392508"," 6.226818636","-0.220434936"," 2.079368672"," 1.374769445"," 3.684368976"," 0.065033622"," 0.303972790"," 0.006454676"," 0.031549465"
"1674352072_009","-0.926772954","-7.026137781"," 6.224273845","-0.220927698"," 2.078987559"," 1.298860842"," 3.386324407"," 0.063015208"," 0.303880924"," 0.006713262"," 0.031553689"
"1674353774_01256","-0.988457159","-6.758545353"," 6.225312064","-0.220788165"," 2.079566754"," 1.409231099"," 3.222458339"," 0.066006977"," 0.304204957"," 0.005389973"," 0.031554368"
"1674352554_18897","-0.858165137","-6.935359122"," 6.234685803","-0.219831630"," 2.079461233"," 1.195717552"," 3.153336078"," 0.134422991"," 0.303570832"," 0.006015312"," 0.031704290"
"1674352933_80421","-0.992319997","-6.726610971"," 6.224593595","-0.220703790"," 2.079776285"," 1.425922808"," 3.181093187"," 0.063480589"," 0.303836831"," 0.005092362"," 0.031570553"
"1674351053_34169","-1.103194492","-6.563333195"," 6.224912662","-0.220674221"," 2.078253665"," 1.588322522"," 3.272087798"," 0.066074887"," 0.303793413"," 0.006423377"," 0.031556139"
"1674349960_04085","-1.121273028","-6.843037750"," 6.226601652","-0.220277942"," 2.079294880"," 1.546508276"," 3.600865520"," 0.064784655"," 0.303537953"," 0.004809325"," 0.031561872"
"1674350347_84406","-1.10059824","-6.56779296"," 6.22452837","-0.22088396"," 2.07928162"," 1.64710802"," 3.22088067"," 0.06382869"," 0.30384578"," 0.00481960"," 0.03156639"
"1674355988_05337","-1.192119221","-6.678919747"," 6.225968055","-0.220683166"," 2.078642278"," 1.726956623"," 3.557871819"," 0.064783054"," 0.303991323"," 0.007387661"," 0.031557680"
"1674361075_39752","-1.183364693","-6.503848270"," 6.224333763","-0.220781425"," 2.078657509"," 1.659033968"," 3.419842597"," 0.064273178"," 0.303866157"," 0.004107671"," 0.031567424"
"1674356300_43566","-1.281542823","-6.544439754"," 6.223562031","-0.221032480"," 2.078861057"," 1.830025304"," 3.667422912"," 0.064305727"," 0.303816414"," 0.004899532"," 0.031560634"
"1674363373_08176","-1.284699478","-6.671434202"," 6.224223213","-0.220677181"," 2.078793992"," 1.673828014"," 3.870356404"," 0.063816639"," 0.303514128"," 0.003839001"," 0.031586924"
"1674350522_72268","-1.391896382","-6.353179207"," 6.226407792","-0.220600047"," 2.078836541"," 1.967056511"," 3.628648350"," 0.072624068"," 0.303681334"," 0.005688071"," 0.031587042"
"1674358408_51176","-1.397068406","-6.457535914"," 6.227501399","-0.220365818"," 2.079934479"," 1.911988994"," 3.772075299"," 0.069869009"," 0.304339446"," 0.004738784"," 0.031551782"
"1674359754_86136","-1.496767381","-6.375775827"," 6.226510795","-0.220431302"," 2.079881178"," 2.021100654"," 3.899669059"," 0.065388349"," 0.303741526"," 0.004137938"," 0.031568063"
"1674351409_97043","-1.553217694","-6.293831333"," 6.225229225","-0.220612522"," 2.079633834"," 2.131728786"," 3.961960612"," 0.065101978"," 0.303786853"," 0.006995588"," 0.031537086"
"1674351773_90763","-1.452045239","-6.353312816"," 6.223817757","-0.220808974"," 2.079571375"," 1.977934174"," 3.761439895"," 0.065356577"," 0.303729164"," 0.005290043"," 0.031552887"
"1674361897_61467","-1.637244077","-6.002373591"," 6.224697003","-0.220880518"," 2.078703066"," 2.299950425"," 3.649128378"," 0.065330617"," 0.303867647"," 0.004463477"," 0.031563990"
"1674359197_2378","-1.841451527","-5.784616728"," 6.224043039","-0.220903583"," 2.078777035"," 2.469809652"," 3.757850383"," 0.064099359"," 0.303811197"," 0.004748559"," 0.031551430"
"1674358126_7656","-2.217894428","-5.303886182"," 6.223834825","-0.220967897"," 2.079642611"," 2.946663583"," 3.586693393"," 0.064747176"," 0.304001087"," 0.005246711"," 0.031541960"
"1674362203_522","-2.206969025","-5.400913661"," 6.224216622","-0.220861778"," 2.078797496"," 2.807958044"," 3.798088314"," 0.064153248"," 0.303767928"," 0.006611986"," 0.031539314"
"1674361241_80537","-3.322967681","-4.269044769"," 6.224519974","-0.220777925"," 2.079366745"," 3.695623209"," 3.606132961"," 0.064595725"," 0.303842419"," 0.005312509"," 0.031545764"
"1674363759_01209","-2.258862420","-5.190352158"," 6.222151984","-0.221257655"," 2.079605739"," 2.697277929"," 3.756863950"," 0.065396774"," 0.304409905"," 0.006630036"," 0.031567674"
"1674354452_00584","-2.397118201","-5.037035499"," 6.224133258","-0.220896831"," 2.078870823"," 3.021222243"," 3.551265543"," 0.063851533"," 0.303981192"," 0.006076216"," 0.031548212"
"1674362657_76637","-2.72208247","-4.87354133"," 6.22354647","-0.22092096"," 2.07897035"," 3.05122086"," 3.96633940"," 0.06378819"," 0.30380623"," 0.00725060"," 0.03154168"
"1674356447_35931","-3.225512198","-4.304959774"," 6.224836858","-0.220756223"," 2.078735353"," 3.799200501"," 3.385986437"," 0.063914581"," 0.303737672"," 0.005696918"," 0.031524938"
"1674353332_92948","-1.121084772","-6.743399781"," 6.225940070","-0.220604619"," 2.078710140"," 1.558884137"," 3.537796435"," 0.064294372"," 0.303748998"," 0.003580793"," 0.031550174"
"1674361549_00436","-7.223388727","-0.857058945"," 6.226761008","-0.220649450"," 2.078895066"," 3.427064277"," 1.136222276"," 0.065013988"," 0.304074113"," 0.005147652"," 0.031565231"
"1674358280_87853","-2.273009736","-5.354689602"," 6.225375635","-0.220696562"," 2.078345275"," 2.760815515"," 3.924401696"," 0.064328677"," 0.303890285"," 0.004859566"," 0.031563047"
"1674354608_1939","-2.770210325","-4.668173015"," 6.224227011","-0.220831077"," 2.078800448"," 3.254270942"," 3.557350744"," 0.064295298"," 0.303869376"," 0.006933926"," 0.031540830"
"1674353679_42973","-2.466037346","-4.821336192"," 6.220053577","-0.221488746"," 2.079145553"," 2.981130554"," 3.467052366"," 0.066360275"," 0.304248415"," 0.006042221"," 0.031612803"
