2023-11-18 20:52:10.654768: I tensorflow/core/platform/cpu_feature_guard.cc:193] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2023-11-18 20:52:12.258320: W tensorflow/compiler/xla/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libnvinfer.so.7'; dlerror: libnvinfer.so.7: cannot open shared object file: No such file or directory
2023-11-18 20:52:12.258450: W tensorflow/compiler/xla/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libnvinfer_plugin.so.7'; dlerror: libnvinfer_plugin.so.7: cannot open shared object file: No such file or directory
2023-11-18 20:52:12.258458: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Cannot dlopen some TensorRT libraries. If you would like to use Nvidia GPU with TensorRT, please make sure the missing libraries mentioned above are installed properly.
2023-11-18 20:52:38.697595: I tensorflow/core/platform/cpu_feature_guard.cc:193] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2023-11-18 20:52:39.480210: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1613] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 78936 MB memory:  -> device: 0, name: NVIDIA A100 80GB PCIe, pci bus id: 0000:21:00.0, compute capability: 8.0
INFO:root:Performing 2 pilot runs with the PharmacokineticModel model...
INFO:root:Shape of parameter batch after 2 pilot simulations: (batch_size = 2, 11)
INFO:root:Shape of simulation batch after 2 pilot simulations: (batch_size = 2, 58, 4)
INFO:root:No optional prior non-batchable context provided.
INFO:root:No optional prior batchable context provided.
INFO:root:No optional simulation non-batchable context provided.
INFO:root:No optional simulation batchable context provided.
INFO:root:Initialized empty loss history.
INFO:root:Initialized networks from scratch.
INFO:root:Performing a consistency check with provided components...
2023-11-18 20:52:55.899051: I tensorflow/compiler/xla/stream_executor/cuda/cuda_blas.cc:630] TensorFloat-32 will be used for the matrix multiplication. This will only be logged once.
2023-11-18 20:52:56.178958: I tensorflow/compiler/xla/stream_executor/cuda/cuda_dnn.cc:428] Loaded cuDNN version 8303
INFO:root:Done.
[PhysicalDevice(name='/physical_device:CPU:0', device_type='CPU'), PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
training on gpu
using 2 layers of MultiConv1D, a bidirectional LSTM with 256 units and a dense layer with output dimension 22 as summary network
using a 7-layer cINN as inference network with 2 layers of design spline
prior mean: [-5.   6.5  2.5  2.5  6.5  0.   6.5 -3.  -1.  -1.   0. ]
prior covariance diagonal: [4.5 1.  1.  1.  1.  1.  1.  4.5 2.  2.  1. ]
Using the PharmacokineticModel
amortizer-pharma-sequence-summary-Bi-LSTM-7layers-2coupling-spline-750epochs
max epochs 750
Model: "amortized_posterior"
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 invertible_network (Inverti  multiple                 769265    
 bleNetwork)                                                     
                                                                 
 sequence_network (SequenceN  multiple                 610902    
 etwork)                                                         
                                                                 
=================================================================
Total params: 1,380,167
Trainable params: 1,380,013
Non-trainable params: 154
_________________________________________________________________
INFO:root:Generated 1000 simulations for validation.
2023-11-18 20:53:38.052951: I tensorflow/compiler/xla/service/service.cc:173] XLA service 0x7f90227c4df0 initialized for platform CUDA (this does not guarantee that XLA will be used). Devices:
2023-11-18 20:53:38.053279: I tensorflow/compiler/xla/service/service.cc:181]   StreamExecutor device (0): NVIDIA A100 80GB PCIe, Compute Capability 8.0
2023-11-18 20:53:38.077883: I tensorflow/compiler/mlir/tensorflow/utils/dump_mlir_util.cc:268] disabling MLIR crash reproducer, set env var `MLIR_CRASH_REPRODUCER_DIRECTORY` to enable.
2023-11-18 20:53:38.273112: I tensorflow/compiler/jit/xla_compilation_cache.cc:477] Compiled cluster using XLA!  This line is logged at most once for the lifetime of the process.
INFO:root:Validation, Epoch: 1, Loss: 12.541
INFO:root:Validation, Epoch: 2, Loss: 10.907
INFO:root:Validation, Epoch: 3, Loss: 10.797
INFO:root:Validation, Epoch: 4, Loss: 10.279
INFO:root:Validation, Epoch: 5, Loss: 9.883
INFO:root:Validation, Epoch: 6, Loss: 9.769
INFO:root:Validation, Epoch: 7, Loss: 9.357
INFO:root:Validation, Epoch: 8, Loss: 9.223
INFO:root:Validation, Epoch: 9, Loss: 9.401
INFO:root:Validation, Epoch: 10, Loss: 8.893
INFO:root:Validation, Epoch: 11, Loss: 8.400
INFO:root:Validation, Epoch: 12, Loss: 9.306
INFO:root:Validation, Epoch: 13, Loss: 9.267
INFO:root:Validation, Epoch: 14, Loss: 8.945
INFO:root:Validation, Epoch: 15, Loss: 8.929
INFO:root:Validation, Epoch: 16, Loss: 8.277
INFO:root:Validation, Epoch: 17, Loss: 8.326
INFO:root:Validation, Epoch: 18, Loss: 8.074
INFO:root:Validation, Epoch: 19, Loss: 8.160
INFO:root:Validation, Epoch: 20, Loss: 7.965
INFO:root:Validation, Epoch: 21, Loss: 8.729
INFO:root:Validation, Epoch: 22, Loss: 8.171
INFO:root:Validation, Epoch: 23, Loss: 7.428
INFO:root:Validation, Epoch: 24, Loss: 7.368
INFO:root:Validation, Epoch: 25, Loss: 7.210
INFO:root:Validation, Epoch: 26, Loss: 7.497
INFO:root:Validation, Epoch: 27, Loss: 7.552
INFO:root:Validation, Epoch: 28, Loss: 7.935
INFO:root:Validation, Epoch: 29, Loss: 7.237
INFO:root:Validation, Epoch: 30, Loss: 7.744
INFO:root:Validation, Epoch: 31, Loss: 7.408
INFO:root:Validation, Epoch: 32, Loss: 7.338
INFO:root:Validation, Epoch: 33, Loss: 7.672
INFO:root:Validation, Epoch: 34, Loss: 6.950
INFO:root:Validation, Epoch: 35, Loss: 6.946
INFO:root:Validation, Epoch: 36, Loss: 6.797
INFO:root:Validation, Epoch: 37, Loss: 7.026
INFO:root:Validation, Epoch: 38, Loss: 7.088
INFO:root:Validation, Epoch: 39, Loss: 7.427
INFO:root:Validation, Epoch: 40, Loss: 7.117
INFO:root:Validation, Epoch: 41, Loss: 6.614
INFO:root:Validation, Epoch: 42, Loss: 6.740
INFO:root:Validation, Epoch: 43, Loss: 6.742
INFO:root:Validation, Epoch: 44, Loss: 7.440
INFO:root:Validation, Epoch: 45, Loss: 6.603
INFO:root:Validation, Epoch: 46, Loss: 6.684
INFO:root:Validation, Epoch: 47, Loss: 7.193
INFO:root:Validation, Epoch: 48, Loss: 6.900
INFO:root:Validation, Epoch: 49, Loss: 6.498
INFO:root:Validation, Epoch: 50, Loss: 6.677
INFO:root:Validation, Epoch: 51, Loss: 6.800
INFO:root:Validation, Epoch: 52, Loss: 6.607
INFO:root:Validation, Epoch: 53, Loss: 7.127
INFO:root:Validation, Epoch: 54, Loss: 6.602
INFO:root:Validation, Epoch: 55, Loss: 6.972
INFO:root:Validation, Epoch: 56, Loss: 6.356
INFO:root:Validation, Epoch: 57, Loss: 6.505
INFO:root:Validation, Epoch: 58, Loss: 6.407
INFO:root:Validation, Epoch: 59, Loss: 6.743
INFO:root:Validation, Epoch: 60, Loss: 6.356
INFO:root:Validation, Epoch: 61, Loss: 8.553
INFO:root:Validation, Epoch: 62, Loss: 6.407
INFO:root:Validation, Epoch: 63, Loss: 6.628
INFO:root:Validation, Epoch: 64, Loss: 6.082
INFO:root:Validation, Epoch: 65, Loss: 6.272
INFO:root:Validation, Epoch: 66, Loss: 6.433
INFO:root:Validation, Epoch: 67, Loss: 6.060
INFO:root:Validation, Epoch: 68, Loss: 6.140
INFO:root:Validation, Epoch: 69, Loss: 6.452
INFO:root:Validation, Epoch: 70, Loss: 6.206
INFO:root:Validation, Epoch: 71, Loss: 6.266
INFO:root:Validation, Epoch: 72, Loss: 6.757
INFO:root:Validation, Epoch: 73, Loss: 6.268
INFO:root:Validation, Epoch: 74, Loss: 6.120
INFO:root:Validation, Epoch: 75, Loss: 6.335
INFO:root:Validation, Epoch: 76, Loss: 6.711
INFO:root:Validation, Epoch: 77, Loss: 6.122
INFO:root:Validation, Epoch: 78, Loss: 6.079
INFO:root:Validation, Epoch: 79, Loss: 6.279
INFO:root:Validation, Epoch: 80, Loss: 6.172
INFO:root:Validation, Epoch: 81, Loss: 6.230
INFO:root:Validation, Epoch: 82, Loss: 6.084
INFO:root:Validation, Epoch: 83, Loss: 6.392
INFO:root:Validation, Epoch: 84, Loss: 6.769
INFO:root:Validation, Epoch: 85, Loss: 6.004
INFO:root:Validation, Epoch: 86, Loss: 6.225
INFO:root:Validation, Epoch: 87, Loss: 6.056
INFO:root:Validation, Epoch: 88, Loss: 6.127
INFO:root:Validation, Epoch: 89, Loss: 6.140
INFO:root:Validation, Epoch: 90, Loss: 6.147
INFO:root:Validation, Epoch: 91, Loss: 5.910
INFO:root:Validation, Epoch: 92, Loss: 6.249
INFO:root:Validation, Epoch: 93, Loss: 6.550
INFO:root:Validation, Epoch: 94, Loss: 6.099
INFO:root:Validation, Epoch: 95, Loss: 6.114
INFO:root:Validation, Epoch: 96, Loss: 6.336
INFO:root:Validation, Epoch: 97, Loss: 6.264
INFO:root:Validation, Epoch: 98, Loss: 5.826
INFO:root:Validation, Epoch: 99, Loss: 5.704
INFO:root:Validation, Epoch: 100, Loss: 7.036
INFO:root:Validation, Epoch: 101, Loss: 6.035
INFO:root:Validation, Epoch: 102, Loss: 5.905
INFO:root:Validation, Epoch: 103, Loss: 5.869
INFO:root:Validation, Epoch: 104, Loss: 6.004
