"X","run","convergenceIndicator","exploratoryNumber","smoothingNumber"
1,"1700838053_61601",-3165844.81993981,10000,1000
1,"1700838053_63081",-2971678.33977672,10000,1000
1,"1702059867_53786",-3255929.85410228,5640,1000
2,"1702291085_27364",-3358324.14948782,4643,1000
1,"1702059868_24226",-3119256.06868729,10000,1000
2,"1702335922_37296",-3183093.24853553,8977,1000
1,"1702664681_58336",-3199170.62234217,8176,1000
2,"1702892516_485",-3326125.98824939,6224,1000
1,"1703162829_06139",-3254581.85368352,6657,1000
1,"1703162829_05945",-3330227.5325498,5808,1000
1,"1703162829_93393",-2769722.03816422,10000,1000
1,"1703163605_31637",-3355959.95585573,4884,1000
1,"1703163604_4765",-3325310.71086035,5830,1000
1,"1703168765_34755",-2822153.78455532,10000,1000
1,"1703168765_74481",-3330456.78329671,8335,1000
1,"1703168765_29399",-3335984.13487392,5385,1000
1,"1703168765_92347",-3260084.74752856,10000,1000
1,"1703367678_97749",-2801466.54983107,10000,1000
1,"1703379700_73382",-3325557.26812042,5385,1000
1,"1703380667_53379",-3143569.86403587,8520,1000
1,"1703400251_19353",-3247835.45724543,8738,1000
1,"1703424484_03185",-3186808.19618268,10000,1000
1,"1703599626_99992",-3171872.09134036,9448,1000
1,"1703606116_52543",-3344799.417011,5849,1000
1,"1703609226_86413",-3182102.28194488,10000,1000
1,"1703668584_29054",-3298514.56914145,4745,1000
1,"1703671381_02647",-3354302.1179176,6228,1000
1,"1703682241_31777",-3345628.22331859,4752,1000
1,"1703808444_66179",-3319548.34877425,6170,1000
1,"1703850686_73043",-3326383.76985596,6225,1000
1,"1703855491_08328",-2974398.00987504,10000,1000
1,"1703869540_79076",-3236679.78015008,10000,1000
1,"1703892400_77143",-3310365.23104901,7109,1000
1,"1703924901_67844",-3365487.85598277,6564,1000
1,"1704040010_36676",-3320135.3274133,4838,1000
1,"1704876132_86188",-3320693.0302837,8296,1000
1,"1704876138_78848",-2905793.68524494,10000,1000
1,"1704876141_59057",-3273127.41640868,7296,1000
1,"1704876139_03197",-3095324.11699327,10000,1000
1,"1706206076_41173",-3380853.71655453,10000,1000
1,"1706481488_46013",-3353906.04077184,6544,1000
1,"1706715750_48201",-3174306.14746628,9585,1000
1,"1706974803_07875",-3312734.79323189,8740,1000
1,"1707232221_92419",-3323895.06224753,3349,1000
1,"1707454023_09692",-3231379.02525695,6640,1000
1,"1707715038_18933",-3188263.4809312,7100,1000
1,"1707966019_92386",-3256538.12472756,8392,1000
1,"1708099692_29719",-3217564.56022438,7211,1000
1,"1708099698_36132",-3124854.83520631,9324,1000
1,"1708351283_39449",-3227703.88415062,4891,1000
1,"1708551400_83977",-3352527.17392131,6602,1000
1,"1708766705_71615",-2767381.47968418,10000,1000
1,"1709034068_46024",-3174138.25089777,10000,1000
1,"1709206129_04022",-3323250.493209,7210,1000
1,"1709206129_71127",-3225716.48094396,6653,1000
1,"1709440563_85341",-3361042.0799997,5168,1000
1,"1709655900_16236",-3381168.77481588,3670,1000
1,"1710430384_74705",-3260250.7178606,7628,1000
1,"1710430466_28479",-3297328.88212981,5804,1000
1,"1710430467_49315",-3051466.71065889,10000,1000
1,"1710693411_16574",-3130915.0143124,7188,1000
1,"1710914013_51856",-3136577.47896038,10000,1000
1,"1711102688_84828",-3265999.67995122,7679,1000
1,"1711102688_01003",-3373418.2706261,5123,1000
