"X","run","convergenceIndicator","exploratoryNumber","smoothingNumber"
1,"1674349867_15554",-70502.5188027778,668,185
2,"1674349960_04085",-73426.7056511137,669,216
3,"1674350055_28877",-73468.5204539065,833,272
4,"1674350174_18222",-72694.5771148852,1387,252
5,"1674350347_84406",-73467.1603088806,670,1000
6,"1674350522_72268",-73322.8300493446,1057,447
7,"1674350680_94856",-73348.7203118253,1001,353
8,"1674350822_39314",-73257.5839122634,1233,1000
9,"1674351053_34169",-73409.5997340465,1497,302
10,"1674351241_1646",-73562.2798125111,1345,245
11,"1674351409_97043",-73258.2042754256,779,273
12,"1674351522_1657",-73460.3598032716,1419,1000
13,"1674351773_90763",-73311.6257671518,633,1000
14,"1674351944_02739",-73202.2634037889,778,444
15,"1674352072_009",-73483.7119971564,624,183
16,"1674352158_67277",-73481.6593489685,529,523
17,"1674352271_81501",-72840.5170136083,657,1000
18,"1674352441_4898",-72094.1892340484,844,217
19,"1674352554_18897",-73436.5923134361,786,1000
20,"1674352739_23015",-73168.3302498893,889,1000
21,"1674352933_80421",-73434.0009876877,668,410
22,"1674353047_5463",-73311.4290897481,653,317
23,"1674353148_38778",-73227.9821273756,815,121
24,"1674353246_18271",-64961.3278104798,614,206
25,"1674353332_92948",-73500.9616343183,878,872
26,"1674353515_35747",-73265.9083122924,1266,296
27,"1674353679_42973",-73123.3458297035,657,242
28,"1674353774_01256",-73428.7058814907,623,556
29,"1674353898_36573",-73098.0594467479,689,1000
30,"1674354074_58199",-72026.3758771418,1250,1000
31,"1674354308_87378",-73434.6830301275,1008,352
32,"1674354452_00584",-73247.5010912653,967,530
33,"1674354608_1939",-73193.5717687742,597,960
34,"1674354768_77889",-73204.8353986251,658,1000
35,"1674354939_80154",-73615.4044235765,1811,189
36,"1674355149_10764",-72315.7517464192,1000,1000
37,"1674355358_22928",-73173.6316835211,655,316
38,"1674355459_63402",-73319.507634773,800,1000
39,"1674355643_26249",-73251.4598884975,558,913
40,"1674355794_33292",-72338.0699229895,864,1000
41,"1674355988_05337",-73337.1324127913,948,241
42,"1674356112_15885",-73410.458008946,1447,343
43,"1674356300_43566",-73365.9712836888,977,429
44,"1674356447_35931",-73225.152746349,1014,347
45,"1674356590_37515",-73258.4300342245,683,218
46,"1674356684_34382",-73198.4719396149,543,1000
47,"1674356844_04353",-72677.7902372057,962,1000
48,"1674357044_80931",-73428.8069883227,738,322
49,"1674357156_01613",-71062.2637968671,1230,804
50,"1674357367_72778",-73122.8158725895,634,172
51,"1674357452_82003",-73160.3854250846,1058,1000
52,"1674357664_4407",-72288.1953553747,800,815
53,"1674357832_42089",-73257.847171767,566,471
54,"1674357941_86696",-71990.5568657161,775,1000
55,"1674358126_7656",-73247.8411449214,783,700
56,"1674358280_87853",-73275.8649999603,894,324
57,"1674358408_51176",-73368.2594714244,857,370
58,"1674358536_83526",-73273.7770732558,631,802
59,"1674358684_28649",-73298.9366704168,636,901
60,"1674358843_34898",-73106.5143220163,1062,477
61,"1674359000_79273",-73348.5618778022,877,1000
62,"1674359197_2378",-73328.262116603,638,978
63,"1674359366_10198",-73291.0351557522,680,604
64,"1674359498_47964",-73302.1277039743,657,797
65,"1674359649_34093",-73278.4178712314,680,332
66,"1674359754_86136",-73391.4620306237,784,262
67,"1674359864_69922",-73198.5171638375,614,272
68,"1674359957_0747",-72751.0899791559,710,1000
69,"1674360134_34818",-73170.7607177352,1230,1000
70,"1674360362_15781",-73249.6516462698,616,257
71,"1674360454_76033",-73471.5172027573,863,1000
72,"1674360646_94991",-73342.7404073442,627,597
73,"1674360772_87038",-73256.2955064531,658,1000
74,"1674360946_61471",-73447.1459494338,750,436
75,"1674361075_39752",-73387.2185168275,875,672
76,"1674361241_80537",-73259.5027912033,784,685
77,"1674361401_94601",-73244.613699959,863,533
78,"1674361549_00436",-73454.1571320071,844,427
79,"1674361686_57418",-70279.8262003783,975,1000
80,"1674361897_61467",-73348.9433137242,883,600
81,"1674362059_06875",-73262.6134097217,957,406
82,"1674362203_522",-73206.0266518273,1058,421
83,"1674362362_15869",-73249.9996455115,622,607
84,"1674362492_21442",-70336.0164557337,1266,256
85,"1674362657_76637",-73211.3800880559,596,952
86,"1674362825_82444",-73263.3004039644,876,1000
87,"1674363026_45618",-72194.6862744387,883,670
88,"1674363195_74917",-73511.2147217565,637,275
89,"1674363292_87283",-71746.6844731996,556,175
90,"1674363373_08176",-73459.3989751724,1063,264
91,"1674363516_65802",-73244.2284587625,834,421
92,"1674363652_52945",-73268.1177446901,657,331
93,"1674363759_01209",-73266.5795055608,783,224
94,"1674363867_79773",-73369.9969113461,633,403
95,"1674363977_88104",-73343.3349711354,597,646
96,"1674364112_88426",-73353.8558277393,730,967
97,"1674364291_17727",-73189.0898952427,613,165
98,"1674364376_24185",-73224.055955177,623,463
99,"1674364494_40175",-71070.1972429326,623,265
100,"1674364594_12895",-73255.3871916267,658,508
