"X","run","convergenceIndicator","exploratoryNumber","smoothingNumber"
1,"1700838043_48774",-328504.410189333,1919,1000
2,"1700855443_14355",-324731.457253713,2341,1000
3,"1700873746_0922",-328602.547171074,2285,1000
4,"1700892784_51286",-330129.156920157,2376,1000
5,"1700910568_31375",-323794.305941217,2552,1000
6,"1700929984_06162",-301307.867918588,3496,1000
7,"1700948947_46843",-336220.314316202,1849,1000
8,"1700966792_1903",-320408.597555409,3520,1000
9,"1700986542_53526",-333210.073377599,2618,1000
10,"1701004509_62743",-321205.867733885,2460,1000
11,"1701021494_18584",-332173.726395585,2392,1000
12,"1701039380_50744",-275054.930014729,5424,1000
13,"1701060236_92795",-330802.655943981,3932,1000
1,"1700838043_46367",-318861.286078205,1651,1000
2,"1700855614_26661",-313198.080123765,2474,1000
3,"1700873712_96781",-322491.528887219,3131,1000
4,"1700893064_97261",-321754.17518571,2114,1000
5,"1700910762_168",-261866.724214225,3410,1000
6,"1700930231_70351",-331959.082133325,3476,1000
7,"1700948763_85761",-284083.278800609,3711,1000
8,"1700968094_45382",-268560.903509168,3416,1000
9,"1700989820_30199",-275166.309690758,5189,1000
10,"1701009450_44574",-311785.009142644,3067,1000
11,"1701026921_22845",-297404.476757047,5423,1000
12,"1701046801_77654",-331726.380724046,3141,1000
13,"1701064248_42509",-333934.083966343,1850,1000
1,"1702058894_53782",-322705.522277297,1949,1000
2,"1702077257_8336",-334606.059149264,3136,1000
3,"1702097881_52627",-327138.008478563,2833,1000
4,"1702117396_46464",-331377.218759164,2358,1000
5,"1702136454_0307",-322781.075552661,3066,1000
1,"1702058894_75035",-326720.909421563,2381,1000
2,"1702077820_23847",-315677.790539071,3478,1000
3,"1702098184_80069",-322566.865879134,3957,1000
4,"1702119199_0635",-329700.706543457,3316,1000
5,"1702139276_07606",-322968.72607435,2862,1000
1,"1703163501_90925",-328355.798468222,5018,1000
2,"1703184244_28967",-307849.141784602,3474,1000
3,"1703203822_85513",-280780.107181757,4403,1000
4,"1703228289_21572",-311374.71042729,2828,1000
5,"1703247203_92061",-325052.395363829,1939,1000
1,"1703163501_90068",-319558.66067327,5145,1000
2,"1703183758_23913",-309053.906925144,2742,1000
3,"1703203138_80194",-303938.042438552,5648,1000
4,"1703225247_85463",-326709.043502024,3183,1000
5,"1703243678_25961",-313840.385520114,2625,1000
1,"1703163503_28523",-327927.981159498,3455,1000
2,"1703183524_08838",-333938.500634386,3638,1000
3,"1703203497_91616",-282071.588182597,3589,1000
4,"1703228381_57815",-274451.489327257,3159,1000
5,"1703252421_91091",-304006.611531731,3877,1000
1,"1703261796_52658",-327677.586057113,6347,1000
2,"1703284539_65067",-317708.182622809,3475,1000
3,"1703305535_30053",-276383.979101713,3068,1000
4,"1703328917_95593",-326992.226019258,2902,1000
5,"1703348599_58448",-334054.363764564,2232,1000
1,"1703264962_52344",-317423.227414251,3936,1000
2,"1703285033_94559",-328140.928799607,4711,1000
3,"1703305847_09301",-328858.296350047,4392,1000
4,"1703326199_19178",-335449.921198624,2304,1000
5,"1703345278_43801",-307634.696796563,3066,1000
1,"1703273015_56169",-329768.416168511,1652,1000
2,"1703289713_867",-334385.36098,2843,1000
3,"1703307322_07952",-320618.346817005,3516,1000
4,"1703326325_86931",-299124.59137725,5321,1000
5,"1703346852_85888",-322072.297283798,3841,1000
1,"1703365002_12966",-312821.65873383,4769,1000
2,"1703385816_46187",-288024.252475998,3053,1000
3,"1703407932_09081",-324596.954761728,3255,1000
4,"1703427601_95023",-333752.501301749,4215,1000
5,"1703448342_74484",-323502.182515899,2359,1000
1,"1703365798_8301",-327623.932964427,1687,1000
2,"1703384687_22188",-326700.182335099,3563,1000
3,"1703404714_10515",-312296.907172249,2726,1000
4,"1703424751_1431",-244330.901336707,3447,1000
5,"1703450747_35569",-319039.340042364,3467,1000
1,"1703368041_99506",-305228.462330995,3372,1000
2,"1703388221_67018",-322860.715564517,3213,1000
3,"1703408277_54315",-280397.131776422,3618,1000
4,"1703430680_69357",-313657.075793026,7403,1000
5,"1703455371_05908",-321784.833329963,4338,1000
1,"1703467051_50733",-321371.278126772,3094,1000
2,"1703488276_71149",-326281.021279837,3763,1000
3,"1703510123_6796",-286924.66266339,3599,1000
4,"1703531485_91867",-327866.110232298,4010,1000
5,"1703554211_3951",-318492.286365248,2400,1000
1,"1703471115_12686",-319857.398761444,1918,1000
2,"1703488847_45784",-320184.321719725,5308,1000
3,"1703509609_73627",-312643.014883927,3189,1000
4,"1703528760_44561",-307842.075536498,3174,1000
5,"1703547657_05082",-311242.251108256,2843,1000
1,"1703476786_42801",-312498.10210191,4454,1000
2,"1703497515_62014",-321333.279428989,3463,1000
3,"1703516867_15072",-301362.934589566,3913,1000
4,"1703537589_87021",-284245.17666453,3337,1000
5,"1703557428_89415",-303255.148618746,3206,1000
1,"1703565887_84497",-325827.660497626,2112,1000
2,"1703583071_83474",-297965.977409952,4154,1000
3,"1703605467_00189",-329287.343987478,1663,1000
4,"1703622326_29596",-337647.091065303,2511,1000
5,"1703639901_93189",-331131.023767086,2363,1000
1,"1703574098_73867",-334198.971053574,2113,1000
2,"1703593621_8662",-278449.54392351,2889,1000
3,"1703616077_70402",-308431.17051565,3950,1000
4,"1703637831_69474",-321880.365018829,2524,938
5,"1703657637_5269",-323374.05591302,3500,1000
1,"1703577938_84202",-319574.886221216,3475,1000
2,"1703597407_43316",-292493.508598863,3308,1000
3,"1703623232_15708",-324606.351402157,3052,1000
4,"1703642260_8721",-322376.160143065,2532,1000
5,"1703661520_21394",-335215.111778508,2114,1000
1,"1703658022_59098",-330572.225405203,1850,1000
2,"1703677055_8499",-299741.67193817,4560,1000
3,"1703698962_8867",-319905.639001568,2112,1000
4,"1703718463_37505",-335197.264557936,1926,1000
5,"1703737607_27263",-315469.035766159,4893,1000
1,"1703678383_17931",-311969.38073934,3138,1000
2,"1703698828_5216",-331076.568997675,2994,1000
3,"1703719009_09901",-292467.798417485,7849,1000
4,"1703747706_3387",-335233.194340759,2550,1000
5,"1703767414_54177",-327409.605742583,3105,1000
1,"1703680610_66198",-330348.509441965,3061,1000
2,"1703700064_52748",-335355.443350159,2685,1000
3,"1703719296_51286",-316551.129793337,3339,1000
4,"1703738633_88415",-280052.750608433,4246,1000
5,"1703762466_46285",-324716.075489486,2781,1000
1,"1703761596_98017",-299052.56448861,3199,1000
2,"1703784090_7541",-305355.623464667,2407,1000
3,"1703804863_99727",-321471.779549217,4586,1000
4,"1703826885_44471",-325842.052136908,2112,1000
5,"1703845654_16089",-336504.997242958,1663,1000
1,"1703781413_89073",-262637.62579647,3894,1000
2,"1703805269_66301",-326371.601185825,3136,1000
3,"1703845641_25802",-296280.095235087,4182,1000
4,"1703899371_01008",-279799.653706069,4510,1000
5,"1703956488_52979",-332028.253551351,2784,1000
1,"1703787960_85747",-301996.406708806,5076,1000
2,"1703812621_90883",-317623.803860838,3787,1000
3,"1703833580_96",-335813.007916457,2297,1000
4,"1703853276_59473",-295378.959558463,3662,1000
5,"1703875158_95509",-329555.64275363,2513,1000
1,"1703864505_81818",-320601.295352207,4587,1000
2,"1703885890_87837",-333703.253427673,1360,1000
3,"1703904033_42655",-328888.758664733,1660,1000
4,"1703922638_64666",-327108.475779022,3659,1000
5,"1703943821_61821",-284014.831474545,3104,1000
1,"1703895225_22992",-264186.488846498,7286,1000
2,"1703929683_7626",-327169.844933177,1862,1000
3,"1703949028_17503",-288760.626773436,6404,1000
4,"1703973825_04498",-324325.334755829,4317,1000
5,"1703995217_99421",-309268.579299345,4396,1000
1,"1703964391_65108",-328149.732733005,3467,1000
2,"1703986446_16864",-286547.893086813,2987,1000
3,"1704007579_01496",-282814.932038916,2160,1000
4,"1704026266_04702",-308724.702306045,5623,1000
5,"1704049312_77896",-310909.089124732,4145,1000
1,"1704009989_465",-331639.629833962,3068,1000
2,"1704044871_01412",-318653.639168585,4403,1000
3,"1704068186_53475",-289253.738946264,3480,1000
4,"1704091192_46883",-326966.465114058,2729,1000
5,"1704113181_77667",-323200.16716016,3133,1000
1,"1704017375_84244",-333999.596452261,3235,1000
2,"1704037856_86827",-336064.906807339,2407,1000
3,"1704058007_6318",-331155.538532291,3496,1000
4,"1704078428_14732",-326520.153488987,2352,1000
5,"1704098311_70792",-334906.281121665,2399,1000
