Unnamed: 0,run_HeMau9qXW7rvivDamjBt,run_3Ey8RIpIlVXcuYX7CrDQ
delta1m0_pop,-0.0237978851530629,-0.410457931916155
delta2_pop,-3.32053330098365,-1.51910055418383
e0_m0_pop,-1.31537353011244,0.28710441594456
k2m0scale_pop,14.8752684334165,14.7164776258544
k2_pop,1.31262948365357,0.318809903232143
k1m0_pop,0.360777457224887,0.439780639223577
r0_m0_pop,-3.82402693751869,-3.93788098986204
gamma_pop,-9.5980614686404,-8.56912454048637
tBegin_pop,-0.343333136284642,-0.356763332195747
offset_pop,2.08076438425694,2.0795630478855
omega_delta1m0,0.704449910594247,0.845005956647137
omega_delta2,1.74335745724311,0.655913351315876
omega_e0_m0,1.16123116356022,1.04919403031259
omega_k2m0scale,1.0354659683849,1.07176153282397
omega_k2,1.06285440748789,0.835016315154685
omega_k1m0,1.06669736834856,1.21437837552425
omega_r0_m0,1.00546131146268,1.02895101381382
omega_gamma,2.88193642890021,2.47666161990445
omega_tBegin,0.688418209294418,0.700504546556434
omega_offset,0.0105220550432529,0.016251734302532
a,0.032310933594799,0.032542765473913
