"X","saem","cond","mode","se","ll","run"
6,902.055233240128,343.454867839813,7.16389465332031,17.6650454998016,1630.34525942802,"1700854316_30864"
9,1241.76262140274,327.256295919418,6.61432838439941,13.0134372711182,1561.78786253929,"1700864499_97542"
49,1893.23364686966,437.397490739822,9.1566219329834,24.43727684021,1810.78203463554,"1701007386_02697"
43,1084.76254534721,623.820089817047,6.91092276573181,16.6608729362488,1919.45879030228,"1700988146_91112"
1,1033.86560773849,349.762641191483,6.85920739173889,25.1788620948792,1704.73894834518,"1700838034_71293"
45,757.417889118195,293.160797119141,6.35876488685608,13.5896282196045,1740.13497185707,"1700994560_77725"
35,603.541322946548,351.899348497391,7.36618781089783,25.8425171375275,1870.23038291931,"1700953401_57241"
40,1127.65034508705,1265.36046147346,6.06585812568665,13.7537636756897,1768.77990841866,"1700972677_35535"
31,1168.68657279015,275.950677156448,6.32911062240601,14.4049153327942,1601.30300927162,"1700939993_73471"
23,1194.69022226334,290.143051624298,6.32513022422791,14.4774713516235,1627.24967551231,"1700909397_65769"
11,1652.49156451225,381.808433771133,13.6253545284271,24.3515512943268,2165.99330759048,"1700871247_57832"
4,1218.24498176575,318.18067908287,6.39868927001953,16.1069476604462,1730.62002015114,"1700848166_14722"
8,1718.78418159485,438.843617916107,8.66785311698914,35.5377743244171,1733.73685526848,"1700860417_5334"
16,899.492184877396,225.743629455566,6.22297191619873,13.5207817554474,1610.02860236168,"1700887362_60681"
10,1439.58231115341,254.64030790329,6.62112331390381,14.2773730754852,1620.94815659523,"1700867908_31912"
32,1617.89048314095,407.947688579559,8.46463799476624,18.239452123642,1631.61175203323,"1700946370_62709"
21,940.215583562851,248.180793762207,6.28543281555176,13.89972615242,1806.46230244637,"1700903223_95885"
13,812.308373451233,253.314606904984,6.38962817192078,21.0955781936646,1647.94946575165,"1700878979_28199"
50,1551.98028302193,369.684843301773,7.69290542602539,23.9283792972565,1750.36189341545,"1701011574_21669"
36,992.953944206238,370.258155822754,7.53104090690613,26.585235118866,1999.24845457077,"1700956267_9281"
49,1300.31312561035,279.089611291885,7.16953659057617,18.3436014652252,1650.34365701675,"1701007908_68193"
13,1110.36084675789,234.459594726562,6.59786200523376,13.9839086532593,1635.57302331924,"1700876345_96234"
1,1293.75621819496,332.921388149261,6.79213953018188,14.7372777462006,1710.85782408714,"1700838034_71271"
