"X","saem","cond","mode","se","ll","run"
34,232.113740444183,NA,NA,7.46652746200562,0.397686004638672,"1674416138_67304"
23,280.86138010025,NA,NA,7.5121123790741,0.399820804595947,"1674412947_51687"
28,312.412823200226,NA,NA,7.47830700874329,0.398212909698486,"1674414659_45423"
91,189.524479627609,NA,NA,7.53125381469727,0.399691104888916,"1674433432_73038"
29,231.464643716812,NA,NA,7.54307246208191,0.401279926300049,"1674414979_82473"
85,356.351329803467,NA,NA,7.52923130989075,0.402687549591064,"1674431787_66859"
80,313.218348503113,NA,NA,7.52121210098267,0.401501417160034,"1674430137_4563"
68,279.03222489357,NA,NA,7.51973342895508,0.400600671768188,"1674426406_59328"
79,261.646132946014,NA,NA,7.52973413467407,0.401075124740601,"1674429867_7323"
87,184.004669904709,NA,NA,7.52894854545593,0.4010329246521,"1674432398_04736"
27,252.218132734299,NA,NA,7.47379159927368,0.39745831489563,"1674414399_28688"
39,282.883657932281,NA,NA,7.50685119628906,0.399775743484497,"1674417509_90313"
63,332.759717702866,NA,NA,7.52591848373413,0.402538776397705,"1674424765_86559"
51,210.924386501312,NA,NA,7.5400083065033,0.402633190155029,"1674421144_47758"
57,277.760739088058,NA,NA,7.52456951141357,0.402184963226318,"1674423040_04401"
48,203.807467222214,NA,NA,7.52663445472717,0.400945425033569,"1674420217_1928"
26,375.132050275803,NA,NA,7.57835936546326,0.404345750808716,"1674414016_08684"
53,312.123286485672,NA,NA,7.54150366783142,0.402829647064209,"1674421844_54352"
81,319.394819259644,NA,NA,7.5278959274292,0.401608467102051,"1674430458_74732"
100,335.804345607758,NA,NA,7.51952409744263,0.401057720184326,"1674436157_18086"
9,311.61191368103,NA,NA,7.54152965545654,0.401758670806885,"1674409269_28021"
56,313.626655101776,NA,NA,7.53044438362122,0.401202440261841,"1674422718_36369"
98,308.869086265564,NA,NA,7.512531042099,0.401289224624634,"1674435455_49292"
92,258.03287768364,NA,NA,7.52898478507996,0.401044130325317,"1674433630_3437"
49,308.856076002121,NA,NA,7.52370476722717,0.401795864105225,"1674420429_02561"
36,214.376088142395,NA,NA,7.47041177749634,0.399008274078369,"1674416629_93343"
21,188.961365461349,NA,NA,7.48708486557007,0.397614717483521,"1674412440_06412"
86,237.856757640839,NA,NA,7.51389360427856,0.400729179382324,"1674432152_1213"
95,307.526644468307,NA,NA,7.52481627464294,0.400635719299316,"1674434535_33058"
