"run","delta_pop","gamma_pop","km0scale_pop","tBegin_pop","offset_pop","omega_delta","omega_gamma","omega_km0scale","omega_tBegin","omega_offset","a"
"1674416138_67304","-0.835790702","-7.390594850"," 6.219692601","-0.184990147"," 2.078970850"," 0.962902705"," 2.861598724"," 0.066203225"," 0.325465679"," 0.003591181"," 0.031522901"
"1674412947_51687","-0.923683070","-7.268389908"," 6.219116364","-0.185092149"," 2.079141845"," 1.161672778"," 2.964044304"," 0.065377245"," 0.325490142"," 0.003965386"," 0.031504408"
"1674414659_45423","-0.921452191","-7.220647450"," 6.222674084","-0.184639324"," 2.079606890"," 1.208533257"," 2.910226755"," 0.082696332"," 0.325712035"," 0.004972633"," 0.031523357"
"1674433432_73038","-0.937299319","-7.253719574"," 6.219629046","-0.184940756"," 2.079705934"," 1.250219756"," 2.983941053"," 0.066074045"," 0.325501685"," 0.006032323"," 0.031515441"
"1674414979_82473","-0.964452652","-7.243738359"," 6.219995525","-0.184893354"," 2.078940577"," 1.274802131"," 3.070032909"," 0.067681348"," 0.325462653"," 0.004705175"," 0.031521608"
"1674431787_66859","-0.984573176","-7.354914886"," 6.220310124","-0.184903946"," 2.079366675"," 1.255529543"," 3.268523465"," 0.068782702"," 0.325503224"," 0.004681652"," 0.031534657"
"1674430137_4563","-0.931127925","-7.362378794"," 6.222135218","-0.184811984"," 2.079358610"," 1.195641922"," 3.098326943"," 0.089856587"," 0.325799757"," 0.004376556"," 0.031568453"
"1674426406_59328","-1.226084324","-7.020981870"," 6.218377912","-0.185072285"," 2.079401418"," 1.684347769"," 3.490447702"," 0.066235129"," 0.325400411"," 0.005766865"," 0.031535536"
"1674429867_7323","-1.165792985","-7.070223030"," 6.220441291","-0.184834112"," 2.080042713"," 1.674649623"," 3.327093982"," 0.066000881"," 0.325502213"," 0.005328928"," 0.031508336"
"1674432398_04736","-1.307310014","-6.816500396"," 6.218590198","-0.185110208"," 2.079534742"," 1.871946719"," 3.422827949"," 0.067310967"," 0.325561819"," 0.004812153"," 0.031521613"
"1674414399_28688","-1.286874204","-6.920871960"," 6.218600477","-0.185045202"," 2.080042202"," 1.797743662"," 3.489024008"," 0.067768857"," 0.325466156"," 0.003267038"," 0.031540276"
"1674417509_90313","-1.430428014","-6.951293057"," 6.219431319","-0.184931808"," 2.079415550"," 1.931999783"," 3.826274483"," 0.065146115"," 0.325293166"," 0.005512538"," 0.031511316"
"1674424765_86559","-1.492278402","-6.658883469"," 6.217986042","-0.185008043"," 2.079297374"," 2.060535707"," 3.577406194"," 0.065301443"," 0.324947281"," 0.005839608"," 0.031524090"
"1674421144_47758","-1.318576853","-6.912660614"," 6.218657526","-0.185163332"," 2.079500889"," 1.801421842"," 3.611012214"," 0.071725056"," 0.325680066"," 0.004608038"," 0.031673196"
