"X","run","convergenceIndicator","exploratoryNumber","smoothingNumber"
1,"1674484870_99951",-366148.563518684,928,176
2,"1674485528_82355",-364646.238321798,1271,1000
3,"1674486889_02231",-365613.543264997,1248,1000
4,"1674488194_94653",-367211.284707626,686,405
5,"1674488872_20646",-366623.262921114,1011,1000
6,"1674490061_54081",-364527.593308588,1113,1000
7,"1674491332_81665",-366373.943325854,1036,527
8,"1674492253_75516",-367742.249268022,1409,1000
9,"1674493695_23343",-366345.834552205,954,543
10,"1674494577_82354",-366461.135568781,953,440
11,"1674495410_96398",-359405.923433108,2054,1000
12,"1674497214_60516",-366996.933093515,1372,359
13,"1674498245_46329",-366662.787085076,867,888
14,"1674499289_81742",-366572.645643579,967,322
15,"1674500078_42039",-366713.15541073,1030,817
16,"1674501162_88077",-366250.888749753,1029,518
17,"1674502095_96592",-366661.858774951,2010,141
18,"1674503345_06224",-362873.791604211,971,292
19,"1674504125_85932",-366190.77246211,956,222
20,"1674504829_80942",-365845.198672721,1461,1000
21,"1674506254_41252",-366399.868795121,820,389
22,"1674506992_63224",-366556.239639117,765,1000
23,"1674508032_84322",-360905.921013291,1607,1000
24,"1674509546_92437",-366186.60150139,1036,1000
25,"1674510748_26557",-366943.489570422,701,724
26,"1674511587_81307",-366314.192941502,1011,634
27,"1674512566_04896",-362888.167658716,1311,1000
28,"1674513926_8013",-366589.777873806,769,757
29,"1674514827_22141",-366880.252239599,1020,201
30,"1674515572_07221",-366360.306824846,921,236
31,"1674516258_03131",-365423.427439431,1473,1000
32,"1674517706_51489",-366225.306614615,831,716
33,"1674518633_15397",-366659.59366621,1028,843
34,"1674519714_45454",-364406.447200998,1756,306
35,"1674520937_24318",-352818.422949276,1680,1000
36,"1674522537_03728",-367137.532218831,815,727
37,"1674523457_76651",-365879.43281301,2434,1000
38,"1674525491_29972",-366721.785669327,1305,313
39,"1674526450_6201",-366683.08081105,969,577
40,"1674527348_48316",-366535.142670253,1023,192
41,"1674528068_75298",-366790.567712464,1796,401
42,"1674529368_01142",-362115.105395358,1456,311
43,"1674530420_46026",-366156.106905152,765,1000
44,"1674531459_81187",-347593.345855147,2011,411
45,"1674532888_73192",-364850.956281901,1251,1000
46,"1674534229_10589",-366673.87649174,1206,566
47,"1674535282_57849",-366009.912398732,1214,1000
48,"1674536603_47268",-366385.016155073,1019,522
49,"1674537505_39316",-366008.102763648,1030,1000
50,"1674538684_3497",-365826.036372502,1034,1000
51,"1674539894_59162",-367014.395953193,891,229
52,"1674540571_11412",-365800.085165354,958,1000
53,"1674541706_02128",-366948.747433886,1038,1000
54,"1674542891_21034",-366667.672331801,1011,1000
55,"1674544091_47111",-364079.44219572,871,1000
56,"1674545195_27573",-366550.706281946,957,714
57,"1674546162_34963",-366374.362942543,849,375
58,"1674546906_04294",-366003.406024008,926,1000
59,"1674548040_59253",-352233.456994909,2419,279
60,"1674549635_69596",-358951.260015442,1194,1000
61,"1674550954_22292",-366499.30774608,868,655
62,"1674551856_97299",-366442.41256114,1567,612
63,"1674553124_89955",-365980.34722977,707,1000
64,"1674554131_14047",-361510.834934933,1559,1000
65,"1674555672_90115",-367025.73800697,793,771
66,"1674556605_11136",-365598.794902149,760,1000
67,"1674557637_38754",-366461.911815009,773,793
68,"1674558556_48218",-366313.733734285,1039,244
69,"1674559311_25231",-365675.138681189,1212,1000
70,"1674560634_38733",-365878.243618433,1044,1000
71,"1674561832_70492",-366182.646386816,842,429
72,"1674562582_76911",-366671.838269615,870,902
73,"1674563626_87214",-366626.356094202,1037,260
74,"1674564388_53952",-355406.675362985,1409,1000
75,"1674565846_16274",-366496.729377947,750,1000
76,"1674566870_88341",-365227.01810272,1848,1000
77,"1674568530_65096",-366486.154320525,930,701
78,"1674569487_0755",-363681.4872913,1015,1000
79,"1674570685_34279",-366347.452703263,983,313
80,"1674571439_97911",-357856.425612586,1277,1000
81,"1674572789_34406",-365933.65294649,765,363
82,"1674573463_50592",-364544.749743944,2531,1000
83,"1674575524_67688",-366347.573150999,719,1000
84,"1674576532_91388",-366401.400787492,1921,1000
85,"1674578117_17773",-356475.264656986,1341,1000
86,"1674579485_19704",-366592.253188851,1217,1000
87,"1674580768_47371",-367363.590126422,859,372
88,"1674581506_71091",-360711.822699921,1030,295
89,"1674582293_44524",-364464.920639557,1212,1000
1,"1674493603_94205",-365603.942199842,981,1000
2,"1674494536_06503",-365773.260532483,1054,1000
3,"1674495498_15602",-366911.759604866,1028,775
4,"1674496334_01023",-366889.09740625,738,1000
5,"1674497141_04176",-366244.167311241,1942,1000
6,"1674498517_33534",-365684.890935235,1800,1000
7,"1674499817_872",-367605.396756712,722,762
8,"1674500524_89096",-367283.407383835,687,540
9,"1674501111_83863",-355410.197111034,1297,1000
10,"1674502182_44864",-366497.162814898,718,1000
11,"1674502968_64506",-367384.877373744,716,599
