"X","run","convergenceIndicator","exploratoryNumber","smoothingNumber"
1,"1674324621_37469",-36719.4100053244,558,279
2,"1674324673_99282",-36644.2711842611,1182,387
3,"1674324769_04745",-35968.9911309075,663,1000
4,"1674324870_21708",-36641.2413914173,1200,398
5,"1674324966_91656",-36711.4170472572,590,144
6,"1674325012_85425",-36715.4372203967,1516,267
7,"1674325121_41979",-36490.3273326746,674,269
8,"1674325179_45219",-36736.4383319434,573,780
9,"1674325263_14068",-36561.2555724524,646,525
10,"1674325335_31178",-36671.9830770596,669,415
11,"1674325402_14628",-36628.4513846036,948,116
12,"1674325468_03573",-36633.3321816891,664,414
13,"1674325534_43025",-36684.3339441973,1030,231
14,"1674325611_9539",-36635.1308031817,919,967
15,"1674325728_00255",-36665.3128903131,664,457
16,"1674325798_30128",-36644.0419747211,664,288
17,"1674325856_35196",-36079.4138335505,798,267
18,"1674325921_07934",-36611.5044814156,546,469
19,"1674325984_88122",-36615.3349367131,798,231
20,"1674326048_62111",-36610.6823430433,964,657
21,"1674326147_34106",-36757.9173403562,561,326
22,"1674326202_92105",-36720.6217475509,655,636
23,"1674326281_71448",-36637.7015085246,562,640
24,"1674326356_14094",-36595.1000344331,819,274
25,"1674326424_39078",-36705.9287394609,593,580
26,"1674326496_47365",-32683.0974393835,726,345
27,"1674326563_27842",-36688.5546088648,685,492
28,"1674326635_28348",-32810.7174979834,671,1000
29,"1674326738_30488",-36617.2514722899,673,268
30,"1674326796_06617",-36624.6357563247,662,274
31,"1674326854_23723",-36624.5110058633,1693,345
32,"1674326978_47391",-36693.0152080609,544,411
33,"1674327037_65707",-36767.4699756603,1610,250
34,"1674327153_34737",-36728.5956829855,978,363
35,"1674327235_11034",-36670.5398899628,919,598
36,"1674327327_62916",-36742.3316339873,702,209
37,"1674327384_09103",-36729.7142959677,676,338
38,"1674327446_82308",-36657.6844213241,625,369
39,"1674327509_1363",-35491.1995717956,665,1000
40,"1674327613_66611",-36679.3374158904,912,464
41,"1674327698_86238",-35052.9440220683,809,300
42,"1674327769_62634",-36706.0178326494,569,668
43,"1674327846_00571",-36629.9696234238,571,519
44,"1674327915_36431",-36639.371889655,640,261
45,"1674327971_60599",-36692.1786549333,669,1000
46,"1674328077_61347",-36650.2254000084,674,261
47,"1674328134_99144",-36652.9436802168,574,702
48,"1674328212_52017",-36698.1574042462,569,167
49,"1674328259_59733",-36733.2180460812,561,250
50,"1674328310_74971",-36702.1754163876,625,781
51,"1674328397_11605",-36780.5350321889,668,131
52,"1674328447_07345",-36701.1771395261,837,266
53,"1674328515_17668",-36682.4564963794,628,393
54,"1674328577_69386",-36646.2630761105,760,399
55,"1674328648_95172",-36684.7356859352,781,342
56,"1674328719_1055",-36681.6765176173,835,468
57,"1674328799_95762",-36660.8147020532,570,186
58,"1674328847_85454",-36647.1185446361,920,452
59,"1674328931_07555",-36611.0005771003,654,212
60,"1674328984_84315",-36615.2874938455,815,537
61,"1674329068_24564",-36605.900442922,693,1000
62,"1674329171_66631",-36689.1482986638,641,432
63,"1674329238_07254",-36648.6082300257,1004,212
64,"1674329313_6867",-36680.3562954676,686,205
65,"1674329368_84006",-36642.1491707888,725,242
66,"1674329428_57319",-36623.7525968382,665,595
67,"1674329506_94386",-36647.5411726647,1822,406
68,"1674329643_44976",-36734.1560046704,748,244
69,"1674329705_39392",-36687.5399401374,1083,217
70,"1674329785_97449",-32961.8643432104,1614,448
71,"1674329911_53098",-36680.0675838526,660,261
72,"1674329968_10033",-36604.6718858512,671,564
73,"1674330043_88545",-36624.8653076507,819,272
74,"1674330111_22981",-32070.9602061409,739,262
75,"1674330173_29544",-36702.0511168894,1038,920
76,"1674330292_82331",-36723.6985819097,545,408
77,"1674330352_84079",-36007.037206679,643,1000
78,"1674330453_96476",-36635.3144172962,867,335
79,"1674330528_71506",-36643.6529172543,923,451
80,"1674330612_57446",-36651.7147954657,562,733
81,"1674330692_40098",-36736.6396960007,864,204
82,"1674330758_61589",-36644.5082391696,771,1000
83,"1674330865_60114",-36698.170979818,738,224
84,"1674330925_6788",-35805.816244973,953,1000
85,"1674331046_60519",-36719.4253685569,536,307
86,"1674331099_22204",-36733.0564540109,1216,527
87,"1674331207_05648",-36401.1071896155,818,539
88,"1674331289_8224",-35940.9920151508,671,338
89,"1674331352_15842",-30609.934542187,641,1000
90,"1674331453_30715",-36632.9354684706,680,288
91,"1674331512_52718",-36627.7580538594,646,530
92,"1674331586_00988",-36673.0684203954,849,319
93,"1674331658_71927",-31183.8121633018,829,492
94,"1674331740_89588",-36705.4426119804,557,970
95,"1674331833_92129",-36584.9971508317,752,1000
96,"1674331941_0423",-36709.140705329,817,428
97,"1674332017_00514",-36715.9653766646,1002,260
98,"1674332094_11117",-36665.9162875881,681,634
99,"1674332175_05382",-36652.0012233131,698,606
100,"1674332254_68849",-36704.1230379793,1212,638
