"X","run","convergenceIndicator","exploratoryNumber","smoothingNumber"
1,"1700837927_7115",-33241.4299759279,2087,1000
2,"1700838576_81659",-29917.5448379711,1509,1000
3,"1700839274_03843",-27428.6922660782,974,1000
4,"1700839895_49854",-32872.7745086345,1210,1000
5,"1700840500_49418",-32478.9394704147,1800,1000
6,"1700841128_21939",-30529.8952102268,1310,1000
7,"1700841849_27111",-32706.5208234945,1739,1000
8,"1700842467_34688",-33116.1199701308,948,1000
9,"1700843028_67965",-32861.5530642396,1708,1000
10,"1700843807_7471",-32461.6496094301,846,1000
11,"1700844276_77854",-33446.1764619372,1048,1000
12,"1700844852_66883",-29280.6434046535,852,1000
13,"1700846127_3182",-32278.3634590892,973,1000
14,"1700846743_37398",-30687.1338153435,1669,1000
15,"1700847429_88777",-25769.095807993,2129,1000
16,"1700848551_46348",-27101.7316514288,1303,1000
17,"1700849151_31921",-31420.0962176409,2185,1000
18,"1700849944_14746",-32990.2061032243,1350,1000
19,"1700850461_84745",-30059.1451739779,1036,1000
20,"1700850855_33249",-33999.3082635684,1450,1000
21,"1700851391_49697",-32839.5127389597,2009,1000
22,"1700851947_67554",-33054.4000214882,1230,1000
23,"1700852956_13051",-32760.1302998527,1523,1000
24,"1700853423_52547",-31588.2546528764,1824,1000
25,"1700853938_03035",-34122.384086754,1652,1000
26,"1700854459_1202",-32355.5795862577,879,872
27,"1700854904_17699",-22483.7682994856,823,1000
28,"1700856130_35368",-31029.4109378845,2562,1000
29,"1700856804_06985",-33726.4920244899,2645,1000
30,"1700857638_52536",-28842.5515306762,1245,1000
31,"1700858278_47435",-32133.3697960193,1610,1000
32,"1700859396_97605",-31177.3390732489,1456,1000
33,"1700860190_94527",-31239.4766167542,1282,1000
34,"1700860834_59387",-34397.872542359,1525,1000
35,"1700861434_92231",-32443.3705561339,796,1000
36,"1700861926_49772",-32498.6495512891,1523,1000
37,"1700862405_90054",-33263.4370729323,1127,1000
38,"1700862906_56652",-31071.8800776878,1913,1000
39,"1700863513_80498",-28458.1468089096,1222,1000
40,"1700864500_34418",-31882.3894500203,2259,1000
41,"1700865469_24587",-32469.2363865495,2075,1000
42,"1700866116_11717",-30083.8273114057,1258,1000
43,"1700866816_58003",-31830.5056339385,1693,1000
44,"1700867316_13557",-30386.0239560446,804,1000
45,"1700867766_34069",-32715.2977229357,1060,1000
46,"1700868079_69224",-32157.5501767802,851,1000
47,"1700868522_2649",-30322.7107046647,1046,1000
48,"1700868951_49838",-32856.6960779947,2381,1000
49,"1700869351_51883",-32565.810411485,2427,1000
50,"1700869753_28593",-31276.931507172,1002,1000
1,"1700837927_76928",-32632.451079207,1400,1000
2,"1700838613_82198",-34084.8415898848,1507,941
3,"1700839059_11344",-31347.9423919685,1034,730
4,"1700839630_71241",-32666.3954978073,1278,1000
5,"1700840321_7988",-33153.224450426,1062,1000
6,"1700840818_66525",-33599.9484253422,1349,1000
7,"1700841307_86014",-33264.9013827452,1863,1000
8,"1700841994_85425",-32419.1513638611,1420,1000
9,"1700842427_73933",-31970.9417750996,1140,1000
10,"1700842854_83297",-32162.9494838508,2510,1000
11,"1700843475_73965",-34103.369409648,1130,1000
12,"1700843976_46982",-33655.211790027,1212,1000
13,"1700844512_73063",-31316.5990715652,1450,683
14,"1700844973_46622",-31862.8867485209,1049,1000
15,"1700845482_28395",-30737.3783056765,1108,1000
16,"1700846502_98287",-33944.6548154452,2494,1000
17,"1700847153_07414",-32635.2161068118,1260,1000
18,"1700847577_61312",-30401.735682782,2379,1000
19,"1700848198_18878",-33762.8798897474,1348,1000
20,"1700848647_72881",-33654.6155886426,1150,1000
21,"1700849364_15754",-31036.1837037334,1003,1000
22,"1700849815_66001",-30906.4105058101,1130,1000
23,"1700850854_38831",-32624.2489674855,1459,1000
24,"1700851465_06537",-32952.0174481873,1060,1000
25,"1700852089_87415",-32884.8457877868,1643,1000
26,"1700852641_59568",-33437.5937270327,1191,1000
27,"1700853147_41673",-33670.9227403005,1248,1000
28,"1700853898_96258",-31271.3418799715,1139,1000
29,"1700854481_8233",-33848.0251599888,1075,1000
30,"1700855303_60695",-31242.690092515,619,1000
31,"1700855810_40883",-31923.3029293499,2035,435
32,"1700856416_83911",-25433.8102493525,1133,1000
33,"1700856948_12541",-30303.81887126,2094,1000
34,"1700857442_53102",-33325.1429488297,1265,1000
35,"1700857968_16749",-32545.868854127,1441,1000
36,"1700858643_00764",-33109.5015931605,1432,1000
37,"1700859108_50666",-32734.3286419099,1702,1000
38,"1700859638_00919",-30596.1590448015,1141,1000
39,"1700860258_85639",-27784.3052300937,1129,865
40,"1700860858_18738",-33725.1957945693,1334,1000
41,"1700861377_41323",-32351.2867824297,1848,1000
42,"1700862014_9789",-31108.5420071518,1100,1000
43,"1700862803_67853",-32699.249149366,1803,1000
44,"1700863415_86234",-34010.4110376675,1075,1000
45,"1700863878_96625",-32751.9082540995,1572,1000
46,"1700864316_44641",-32835.674904487,1614,1000
47,"1700864960_26655",-29672.9405719606,1422,1000
48,"1700865607_54796",-32502.9401364062,2582,1000
49,"1700866323_97726",-33022.8685667877,1174,1000
50,"1700866696_71437",-33255.9101092126,1093,1000
