"X","run","convergenceIndicator","exploratoryNumber","smoothingNumber"
1,"1674406912_06505",-139041.195700709,939,1000
2,"1674407277_02102",-138405.663119515,1553,1000
3,"1674407757_02849",-146753.667084543,768,598
4,"1674408012_93469",-144390.660971517,925,154
5,"1674408219_40017",-146617.546799205,886,385
6,"1674408457_75469",-146564.161960534,721,1000
7,"1674408778_60074",-126225.595956964,1043,182
8,"1674409017_05579",-146495.269542519,738,608
9,"1674409269_28021",-146648.314915277,704,1000
10,"1674409588_90409",-146293.304604782,715,1000
11,"1674409911_8835",-146155.112182594,637,1000
12,"1674410218_64439",-146481.475107223,700,511
13,"1674410446_56228",-145685.147364864,843,188
14,"1674410642_31034",-146683.960975193,845,509
15,"1674410896_24298",-147012.842213815,697,646
16,"1674411146_87096",-146611.268662069,616,315
17,"1674411324_58066",-146664.827127535,889,254
18,"1674411540_48237",-146832.640851431,924,1000
19,"1674411894_3957",-146572.985891416,841,971
20,"1674412227_93387",-146663.847089637,665,449
21,"1674412440_06412",-146732.304662331,843,192
22,"1674412636_97167",-146985.651221085,1443,242
23,"1674412947_51687",-147218.83200885,536,1000
24,"1674413236_3632",-139256.788608847,1049,1000
25,"1674413620_16813",-144658.798381585,1132,1000
26,"1674414016_08684",-146525.286946432,1047,1000
27,"1674414399_28688",-146955.854086187,732,640
28,"1674414659_45423",-147130.096316145,711,1000
29,"1674414979_82473",-147069.25430755,960,305
30,"1674415219_31115",-146536.813957316,699,321
31,"1674415412_67988",-146637.340297691,719,1000
32,"1674415734_10678",-146617.77225042,730,290
33,"1674415926_41813",-146438.578952383,702,426
34,"1674416138_67304",-147238.203212939,941,328
35,"1674416378_73352",-146714.252245191,937,415
36,"1674416629_93343",-146595.660607559,662,521
37,"1674416852_264",-146406.887064201,834,1000
38,"1674417190_55593",-146550.275629386,720,1000
39,"1674417509_90313",-146729.916038311,1122,437
40,"1674417800_78996",-146635.000613977,1099,482
41,"1674418095_25835",-145875.391720627,1047,1000
42,"1674418477_13216",-145366.720812805,945,1000
43,"1674418842_14991",-142751.747894171,1149,588
44,"1674419165_33505",-146582.307668737,700,232
45,"1674419342_41212",-146672.246300948,907,431
46,"1674419593_39893",-136804.512531642,1272,1000
47,"1674420022_03854",-146537.604301233,690,343
48,"1674420217_1928",-146751.370374735,887,227
49,"1674420429_02561",-146588.68476465,697,1000
50,"1674420745_91971",-146686.276195409,1162,1000
51,"1674421144_47758",-146445.317303249,923,229
52,"1674421363_45289",-145947.158540235,1593,1000
53,"1674421844_54352",-146739.794106935,708,1000
54,"1674422164_72568",-146605.186790608,919,1000
55,"1674422521_60202",-146663.578179733,710,328
56,"1674422718_36369",-146643.742841668,721,1000
57,"1674423040_04401",-146815.031210182,954,567
58,"1674423325_84906",-145455.644008521,970,1000
59,"1674423692_05722",-146871.511091094,906,645
60,"1674423979_38181",-146615.3040319,872,240
61,"1674424188_92927",-145595.256359651,834,1000
62,"1674424533_4151",-147131.02425979,943,303
63,"1674424765_86559",-146776.282710131,1553,269
64,"1674425106_68753",-143307.156933158,1282,238
65,"1674425389_55451",-146062.336257582,1255,1000
66,"1674425807_80104",-146553.659262866,710,1000
67,"1674426127_32308",-146701.092725914,877,626
68,"1674426406_59328",-146820.728748457,720,809
69,"1674426693_68011",-145716.307047835,1119,1000
70,"1674427089_50964",-146556.833636025,687,659
71,"1674427341_2511",-146612.947489326,1132,1000
72,"1674427736_39836",-146099.630404153,708,1000
73,"1674428053_8497",-146569.712176592,919,1000
74,"1674428414_1949",-145044.906163251,846,1000
75,"1674428761_49788",-146673.571506887,872,168
76,"1674428958_77187",-146323.612631179,1167,1000
77,"1674429361_31968",-146820.874473948,835,533
78,"1674429616_41637",-146886.582123152,627,722
79,"1674429867_7323",-146964.532576,1269,161
80,"1674430137_4563",-147124.91790207,712,1000
81,"1674430458_74732",-146755.451115803,916,839
82,"1674430786_22282",-146543.752350809,620,919
83,"1674431072_89429",-135248.19048363,1541,1000
84,"1674431544_35032",-146605.47851127,919,382
85,"1674431787_66859",-146961.452274888,1134,812
86,"1674432152_1213",-146611.558830984,709,600
87,"1674432398_04736",-146818.214242792,720,281
88,"1674432590_12988",-146539.180147395,669,1000
89,"1674432900_74369",-146451.415730305,951,1000
90,"1674433260_73238",-146564.42920914,605,298
91,"1674433432_73038",-147017.988319364,708,324
92,"1674433630_3437",-146726.094118401,956,461
93,"1674433896_46683",-146556.05547119,595,1000
94,"1674434192_92227",-134171.365530888,810,1000
95,"1674434535_33058",-146605.191867202,694,1000
96,"1674434850_98293",-128818.092682826,1312,146
97,"1674435128_04797",-146688.41062239,747,1000
98,"1674435455_49292",-146572.822563074,700,1000
99,"1674435772_44878",-130609.12092148,1047,1000
100,"1674436157_18086",-146749.517475812,846,1000
