"X","OFV","AIC","BIC","BICc","run"
1,-133441.190599462,-133419.190599462,-133382.90910843,-133351.751367325,"1674406912_06505"
2,-133145.417152922,-133123.417152922,-133087.13566189,-133055.977920785,"1674407277_02102"
3,-140125.335651041,-140103.335651041,-140067.054160009,-140035.896418903,"1674407757_02849"
4,-138676.623222972,-138654.623222972,-138618.34173194,-138587.183990835,"1674408012_93469"
5,-140113.968881872,-140091.968881872,-140055.68739084,-140024.529649735,"1674408219_40017"
6,-140084.047891457,-140062.047891457,-140025.766400425,-139994.60865932,"1674408457_75469"
7,-123830.652403322,-123808.652403322,-123772.37091229,-123741.213171185,"1674408778_60074"
8,-140123.485184047,-140101.485184047,-140065.203693015,-140034.04595191,"1674409017_05579"
9,-140495.049250068,-140473.049250068,-140436.767759036,-140405.610017931,"1674409269_28021"
10,-140363.86538418,-140341.86538418,-140305.583893148,-140274.426152042,"1674409588_90409"
11,-136359.38881482,-136337.38881482,-136301.107323788,-136269.949582682,"1674409911_8835"
12,-140387.346492143,-140365.346492143,-140329.065001111,-140297.907260006,"1674410218_64439"
13,-139998.233058752,-139976.233058752,-139939.95156772,-139908.793826615,"1674410446_56228"
14,-140029.879100317,-140007.879100317,-139971.597609285,-139940.439868179,"1674410642_31034"
15,-140290.91015165,-140268.91015165,-140232.628660618,-140201.470919513,"1674410896_24298"
16,-140203.393495062,-140181.393495062,-140145.11200403,-140113.954262924,"1674411146_87096"
17,-140270.689402265,-140248.689402265,-140212.407911233,-140181.250170128,"1674411324_58066"
18,-140296.687464286,-140274.687464286,-140238.405973254,-140207.248232148,"1674411540_48237"
19,-140103.338593642,-140081.338593642,-140045.05710261,-140013.899361504,"1674411894_3957"
20,-140217.084689308,-140195.084689308,-140158.803198276,-140127.645457171,"1674412227_93387"
21,-140391.323020305,-140369.323020305,-140333.041529273,-140301.883788168,"1674412440_06412"
22,-140287.770800379,-140265.770800379,-140229.489309347,-140198.331568242,"1674412636_97167"
23,-141088.322266512,-141066.322266512,-141030.04077548,-140998.883034375,"1674412947_51687"
24,-131709.607988086,-131687.607988086,-131651.326497054,-131620.168755948,"1674413236_3632"
25,-139180.912786086,-139158.912786086,-139122.631295054,-139091.473553948,"1674413620_16813"
26,-140620.739977876,-140598.739977876,-140562.458486844,-140531.300745739,"1674414016_08684"
27,-140760.44564233,-140738.44564233,-140702.164151298,-140671.006410193,"1674414399_28688"
28,-141084.636510261,-141062.636510261,-141026.355019229,-140995.197278123,"1674414659_45423"
29,-141018.141735275,-140996.141735275,-140959.860244243,-140928.702503138,"1674414979_82473"
30,-140246.684952559,-140224.684952559,-140188.403461527,-140157.245720422,"1674415219_31115"
31,-139927.728319822,-139905.728319822,-139869.44682879,-139838.289087685,"1674415412_67988"
32,-140095.065685638,-140073.065685638,-140036.784194606,-140005.626453501,"1674415734_10678"
33,-140312.881355427,-140290.881355427,-140254.599864395,-140223.442123289,"1674415926_41813"
34,-141158.756267248,-141136.756267248,-141100.474776216,-141069.31703511,"1674416138_67304"
35,-140128.179350982,-140106.179350982,-140069.89785995,-140038.740118844,"1674416378_73352"
36,-140420.445741685,-140398.445741685,-140362.164250653,-140331.006509548,"1674416629_93343"
37,-139771.547520971,-139749.547520971,-139713.266029939,-139682.108288834,"1674416852_264"
38,-140227.488455621,-140205.488455621,-140169.206964589,-140138.049223483,"1674417190_55593"
39,-140722.361005407,-140700.361005407,-140664.079514375,-140632.92177327,"1674417509_90313"
40,-140233.55336121,-140211.55336121,-140175.271870178,-140144.114129073,"1674417800_78996"
41,-139719.930459682,-139697.930459682,-139661.64896865,-139630.491227544,"1674418095_25835"
42,-137947.266085764,-137925.266085764,-137888.984594732,-137857.826853627,"1674418477_13216"
43,-136165.144233985,-136143.144233985,-136106.862742953,-136075.705001848,"1674418842_14991"
44,-140046.195422018,-140024.195422018,-139987.913930986,-139956.756189881,"1674419165_33505"
45,-140114.584398479,-140092.584398479,-140056.302907447,-140025.145166342,"1674419342_41212"
