Unnamed: 0,OFV,AIC,BIC,BICc,run
698,-70535.3136492819,-70513.3136492819,-70484.656777236,-70453.4990361307,1674297880_76504
101,-70525.5278816775,-70503.5278816775,-70474.8710096317,-70443.7132685263,1674308719_26683
501,-70518.9634786877,-70496.9634786877,-70468.3066066418,-70437.1488655365,1674354939_80154
309,-70516.5420857289,-70494.5420857289,-70465.885213683,-70434.7274725777,1674316969_63419
712,-70514.5747067137,-70492.5747067137,-70463.9178346678,-70432.7600935625,1674300010_75237
130,-70514.3830556261,-70492.3830556261,-70463.7261835802,-70432.5684424749,1674312976_9008
476,-70512.988516507,-70490.988516507,-70462.3316444611,-70431.1739033558,1674351241_1646
740,-70511.8517676061,-70489.8517676061,-70461.1948955603,-70430.0371544549,1674304595_76713
222,-70507.5320696708,-70485.5320696708,-70456.8751976249,-70425.7174565196,1674353268_88943
540,-70506.7731662253,-70484.7731662253,-70456.1162941794,-70424.9585530741,1674360946_61471
249,-70506.5277389589,-70484.5277389589,-70455.870866913,-70424.7131258076,1674357568_86039
690,-70501.5823045905,-70479.5823045905,-70450.9254325446,-70419.7676914393,1674296570_73971
385,-70497.1602214485,-70475.1602214485,-70446.5033494027,-70415.3456082973,1674295809_83715
782,-70494.2464247018,-70472.2464247018,-70443.5895526559,-70412.4318115506,1674336080_39849
692,-70491.7197789212,-70469.7197789212,-70441.0629068754,-70409.90516577,1674296906_65538
458,-70488.4684897515,-70466.4684897515,-70437.8116177056,-70406.6538766003,1674307113_83718
440,-70487.9549387006,-70465.9549387006,-70437.2980666548,-70406.1403255494,1674304288_14683
639,-70486.885536997,-70464.885536997,-70436.2286649511,-70405.0709238457,1674339266_15098
596,-70483.2344591527,-70461.2344591527,-70432.5775871068,-70401.4198460015,1674331619_19571
213,-70478.0318119255,-70456.0318119255,-70427.3749398796,-70396.2171987743,1674351835_19371
43,-70476.8870153759,-70454.8870153759,-70426.23014333,-70395.0724022247,1674324958_51275
