Unnamed: 0,OFV,AIC,BIC,BICc,run
387,-352227.575469998,-352205.575469998,-352159.214780915,-352128.05703981,1674381080_88363
226,-352227.223304171,-352205.223304171,-352158.862615089,-352127.704873983,1674329719_29838
144,-352223.48985276,-352201.48985276,-352155.129163677,-352123.971422572,1674353395_94071
424,-352181.11234165,-352159.11234165,-352112.751652567,-352081.593911462,1674422153_79159
86,-352115.503666565,-352093.503666565,-352047.142977483,-352015.985236377,1674580768_47371
370,-352093.323770106,-352071.323770106,-352024.963081023,-351993.805339918,1674360264_57365
91,-352080.865890324,-352058.865890324,-352012.505201241,-351981.347460136,1674419456_98511
240,-352019.556845086,-351997.556845086,-351951.196156003,-351920.038414898,1674500524_89096
157,-352018.601516293,-351996.601516293,-351950.24082721,-351919.083086105,1674367113_25614
3,-351985.035089415,-351963.035089415,-351916.674400333,-351885.516659227,1674488194_94653
305,-351977.336552783,-351955.336552783,-351908.9758637,-351877.818122595,1674434781_52305
92,-351960.251932319,-351938.251932319,-351891.891243236,-351860.733502131,1674420259_25129
197,-351947.00693445,-351925.00693445,-351878.646245367,-351847.488504262,1674414581_19092
464,-351943.660707746,-351921.660707746,-351875.300018664,-351844.142277558,1674465552_8249
306,-351934.54033594,-351912.54033594,-351866.179646858,-351835.021905752,1674435311_94676
239,-351913.707130887,-351891.707130887,-351845.346441805,-351814.188700699,1674499817_872
141,-351898.623666408,-351876.623666408,-351830.262977325,-351799.10523622,1674349655_64179
118,-351860.241857494,-351838.241857494,-351791.881168411,-351760.723427306,1674325546_98967
331,-351858.580404317,-351836.580404317,-351790.219715234,-351759.061974129,1674459712_27484
391,-351837.904374941,-351815.904374941,-351769.543685858,-351738.385944753,1674384845_18769
368,-351817.50727203,-351795.50727203,-351749.146582947,-351717.988841842,1674358053_8362
181,-351812.250305299,-351790.250305299,-351743.889616216,-351712.731875111,1674394619_77554
379,-351807.531985307,-351785.531985307,-351739.171296225,-351708.013555119,1674371599_15656
35,-351735.852285251,-351713.852285251,-351667.491596169,-351636.333855063,1674522537_03728
491,-351726.225093925,-351704.225093925,-351657.864404843,-351626.706663737,1674490457_05493
374,-351697.355770935,-351675.355770935,-351628.995081853,-351597.837340747,1674365623_3133
290,-351648.56614938,-351626.56614938,-351580.205460297,-351549.047719192,1674544001_71976
7,-351597.937807197,-351575.937807197,-351529.577118115,-351498.419377009,1674492253_75516
357,-351555.463500327,-351533.463500327,-351487.102811245,-351455.945070139,1674344070_0425
224,-351530.344570923,-351508.344570923,-351461.983881841,-351430.826140735,1674327469_28936
24,-351503.245843896,-351481.245843896,-351434.885154813,-351403.727413708,1674510748_26557
277,-351477.682367921,-351455.682367921,-351409.321678838,-351378.163937733,1674532013_36676
309,-351471.105934476,-351449.105934476,-351402.745245393,-351371.587504288,1674437779_81413
282,-351444.358943993,-351422.358943993,-351375.99825491,-351344.840513805,1674536666_17372
206,-351429.588857892,-351407.588857892,-351361.228168809,-351330.070427704,1674306146_42246
336,-351415.821429339,-351393.821429339,-351347.460740257,-351316.302999151,1674464837_51197
361,-351403.997314248,-351381.997314248,-351335.636625166,-351304.47888406,1674349387_85154
441,-351399.315411943,-351377.315411943,-351330.95472286,-351299.796981755,1674442529_88132
162,-351385.131823971,-351363.131823971,-351316.771134888,-351285.613393783,1674372090_15194
478,-351365.249803898,-351343.249803898,-351296.889114816,-351265.73137371,1674477494_04971
28,-351335.310756039,-351313.310756039,-351266.950066956,-351235.792325851,1674514827_22141
89,-351333.915952407,-351311.915952407,-351265.555263324,-351234.397522219,1674417685_48478
292,-351330.97412899,-351308.97412899,-351262.613439908,-351231.455698802,1674545398_53719
4,-351324.494659442,-351302.494659442,-351256.13397036,-351224.976229254,1674488872_20646
109,-351324.207607584,-351302.207607584,-351255.846918501,-351224.689177396,1674316245_84148
124,-351271.872933192,-351249.872933192,-351203.512244109,-351172.354503004,1674332482_05725
472,-351258.538651016,-351236.538651016,-351190.177961934,-351159.020220828,1674471847_28174
274,-351246.520941908,-351224.520941908,-351178.160252826,-351147.00251172,1674529551_86466
340,-351233.492620138,-351211.492620138,-351165.131931055,-351133.97418995,1674469000_44219
145,-351229.002656678,-351207.002656678,-351160.641967595,-351129.48422649,1674354160_17322
225,-351215.025567606,-351193.025567606,-351146.664878523,-351115.507137418,1674328644_69288
127,-351151.965543451,-351129.965543451,-351083.604854369,-351052.447113263,1674335333_78547
288,-351122.444153586,-351100.444153586,-351054.083464504,-351022.925723398,1674542327_9913
295,-351103.955787124,-351081.955787124,-351035.595098042,-351004.437356936,1674547885_986
36,-351097.238446621,-351075.238446621,-351028.877757538,-350997.720016433,1674523457_76651
40,-351067.760346408,-351045.760346408,-350999.399657325,-350968.24191622,1674528068_75298
399,-351066.509897045,-351044.509897045,-350998.149207962,-350966.991466857,1674393824_893
405,-351021.011479505,-350999.011479505,-350952.650790423,-350921.493049317,1674402167_59125
9,-351015.069222326,-350993.069222326,-350946.708533244,-350915.550792138,1674494577_82354
119,-351008.129188657,-350986.129188657,-350939.768499575,-350908.610758469,1674326618_32289
132,-350988.080953734,-350966.080953734,-350919.720264652,-350888.562523546,1674340338_56364
27,-350982.10248933,-350960.10248933,-350913.741800247,-350882.584059142,1674513926_8013
298,-350956.816890706,-350934.816890706,-350888.456201623,-350857.298460518,1674428149_68634
112,-350955.549422522,-350933.549422522,-350887.18873344,-350856.030992334,1674319422_51651
148,-350954.580191334,-350932.580191334,-350886.219502251,-350855.061761146,1674357785_8686
46,-350950.087883466,-350928.087883466,-350881.727194384,-350850.569453278,1674535282_57849
271,-350929.507137547,-350907.507137547,-350861.146448465,-350829.988707359,1674525642_42892
380,-350907.898711356,-350885.898711356,-350839.538022274,-350808.380281168,1674372703_21811
45,-350895.904183834,-350873.904183834,-350827.543494752,-350796.385753646,1674534229_10589
339,-350892.805845876,-350870.805845876,-350824.445156793,-350793.287415688,1674468004_13729
254,-350884.901072286,-350862.901072286,-350816.540383204,-350785.382642098,1674511506_62389
37,-350883.952650896,-350861.952650896,-350815.591961813,-350784.434220708,1674525491_29972
180,-350873.726140151,-350851.726140151,-350805.365451069,-350774.207709963,1674393474_77007
237,-350840.612253721,-350818.612253721,-350772.251564638,-350741.093823533,1674497141_04176
335,-350826.510923618,-350804.510923618,-350758.150234535,-350726.99249343,1674463936_74873
146,-350824.582426168,-350802.582426168,-350756.221737085,-350725.06399598,1674355182_50786
231,-350817.737752174,-350795.737752174,-350749.377063092,-350718.219321986,1674334876_2344
429,-350817.312248214,-350795.312248214,-350748.951559131,-350717.793818026,1674428075_81717
263,-350815.91043826,-350793.91043826,-350747.549749178,-350716.392008072,1674520100_35096
365,-350795.619043114,-350773.619043114,-350727.258354032,-350696.100612926,1674353956_26258
449,-350786.792072795,-350764.792072795,-350718.431383713,-350687.273642607,1674450939_86197
249,-350769.003746147,-350747.003746147,-350700.643057064,-350669.485315959,1674506964_78673
317,-350740.0271286,-350718.0271286,-350671.666439517,-350640.508698412,1674445302_55694
68,-350698.684623971,-350676.684623971,-350630.323934888,-350599.166193783,1674559311_25231
62,-350695.867976973,-350673.867976973,-350627.50728789,-350596.349546785,1674553124_89955
158,-350689.504279321,-350667.504279321,-350621.143590239,-350589.985849133,1674367882_30567
300,-350686.014817967,-350664.014817967,-350617.654128884,-350586.496387779,1674429874_3047
182,-350675.590001412,-350653.590001412,-350607.229312329,-350576.071571224,1674395675_54976
346,-350664.286303819,-350642.286303819,-350595.925614736,-350564.767873631,1674476917_86471
386,-350655.526599403,-350633.526599403,-350587.16591032,-350556.008169215,1674379419_45686
437,-350652.020218905,-350630.020218905,-350583.659529822,-350552.501788717,1674436653_99154
476,-350638.925663588,-350616.925663588,-350570.564974505,-350539.4072334,1674475738_70327
486,-350638.087405315,-350616.087405315,-350569.726716233,-350538.568975127,1674486035_32228
150,-350635.75919668,-350613.75919668,-350567.398507598,-350536.240766492,1674359782_67651
348,-350620.581416603,-350598.581416603,-350552.22072752,-350521.062986415,1674479859_54076
60,-350615.588152427,-350593.588152427,-350547.227463344,-350516.069722239,1674550954_22292
39,-350614.995667359,-350592.995667359,-350546.634978276,-350515.477237171,1674527348_48316
378,-350604.770728564,-350582.770728564,-350536.410039482,-350505.252298376,1674370491_96001
294,-350599.548086569,-350577.548086569,-350531.187397486,-350500.029656381,1674547108_3103
18,-350598.904085304,-350576.904085304,-350530.543396222,-350499.385655116,1674504125_85932
49,-350596.456919387,-350574.456919387,-350528.096230305,-350496.938489199,1674538684_3497
173,-350585.338601801,-350563.338601801,-350516.977912719,-350485.820171613,1674384616_7933
98,-350578.466998061,-350556.466998061,-350510.106308978,-350478.948567873,1674425401_10021
33,-350564.390215887,-350542.390215887,-350496.029526805,-350464.871785699,1674519714_45454
15,-350553.333983038,-350531.333983038,-350484.973293956,-350453.81555285,1674501162_88077
434,-350526.480237678,-350504.480237678,-350458.119548595,-350426.96180749,1674433299_91792
243,-350514.554092268,-350492.554092268,-350446.193403185,-350415.03566208,1674502968_64506
152,-350504.289438049,-350482.289438049,-350435.928748967,-350404.771007861,1674362115_09002
395,-350492.988852348,-350470.988852348,-350424.628163266,-350393.47042216,1674389909_31078
352,-350490.240306475,-350468.240306475,-350421.879617392,-350390.721876286,1674337869_4886
153,-350488.035133595,-350466.035133595,-350419.674444512,-350388.516703407,1674363321_13772
493,-350481.297889016,-350459.297889016,-350412.937199933,-350381.779458828,1674492484_33895
227,-350480.433501651,-350458.433501651,-350412.072812569,-350380.915071463,1674330461_4149
95,-350467.388758653,-350445.388758653,-350399.028069571,-350367.870328465,1674423065_90007
349,-350465.419345753,-350443.419345753,-350397.058656671,-350365.900915565,1674481045_57698
142,-350457.610201487,-350435.610201487,-350389.249512404,-350358.091771299,1674350651_22982
187,-350455.824021841,-350433.824021841,-350387.463332759,-350356.305591653,1674401964_11345
11,-350454.904162064,-350432.904162064,-350386.543472982,-350355.385731876,1674497214_60516
125,-350451.376769136,-350429.376769136,-350383.016080054,-350351.858338948,1674333291_62283
57,-350440.214619293,-350418.214619293,-350371.85393021,-350340.696189105,1674546906_04294
179,-350432.690349678,-350410.690349678,-350364.329660596,-350333.17191949,1674392284_18152
25,-350422.205088011,-350400.205088011,-350353.844398928,-350322.686657823,1674511587_81307
128,-350420.850216255,-350398.850216255,-350352.489527173,-350321.331786067,1674336526_66895
289,-350409.429287296,-350387.429287296,-350341.068598213,-350309.910857108,1674543104_11913
413,-350389.379653624,-350367.379653624,-350321.018964541,-350289.861223436,1674411282_07449
426,-350387.1418246,-350365.1418246,-350318.781135518,-350287.623394412,1674424862_96521
416,-350381.35577329,-350359.35577329,-350312.995084207,-350281.837343102,1674413763_75946
316,-350379.020548893,-350357.020548893,-350310.65985981,-350279.502118705,1674444300_45091
16,-350375.725584589,-350353.725584589,-350307.364895507,-350276.207154401,1674502095_96592
279,-350366.300764711,-350344.300764711,-350297.940075628,-350266.782334523,1674533851_81168
42,-350362.081754071,-350340.081754071,-350293.721064988,-350262.563323883,1674530420_46026
51,-350347.772357487,-350325.772357487,-350279.411668404,-350248.253927299,1674540571_11412
64,-350301.231984388,-350279.231984388,-350232.871295305,-350201.7135542,1674555672_90115
13,-350298.159930578,-350276.159930578,-350229.799241496,-350198.64150039,1674499289_81742
156,-350297.192177675,-350275.192177675,-350228.831488592,-350197.673747487,1674366209_62079
200,-350287.24298752,-350265.24298752,-350218.882298437,-350187.724557332,1674300290_0656
230,-350284.823675134,-350262.823675134,-350216.462986052,-350185.305244946,1674333394_91573
72,-350280.457532263,-350258.457532263,-350212.09684318,-350180.939102075,1674563626_87214
314,-350277.989539173,-350255.989539173,-350209.628850091,-350178.471108985,1674442561_54331
455,-350276.725803867,-350254.725803867,-350208.365114784,-350177.207373679,1674457541_47296
129,-350274.211987578,-350252.211987578,-350205.851298495,-350174.69355739,1674337421_18199
461,-350273.492594793,-350251.492594793,-350205.13190571,-350173.974164605,1674462950_87878
457,-350271.755146003,-350249.755146003,-350203.39445692,-350172.236715815,1674459296_23784
278,-350261.981532376,-350239.981532376,-350193.620843293,-350162.463102188,1674532818_04411
21,-350231.204101507,-350209.204101507,-350162.843412424,-350131.685671319,1674506992_63224
23,-350229.000240818,-350207.000240818,-350160.639551735,-350129.48181063,1674509546_92437
323,-350214.010606226,-350192.010606226,-350145.649917144,-350114.492176038,1674450657_82612
430,-350211.744227598,-350189.744227598,-350143.383538515,-350112.22579741,1674428865_37785
418,-350190.694091742,-350168.694091742,-350122.33340266,-350091.175661554,1674416334_33949
70,-350183.899539992,-350161.899539992,-350115.538850909,-350084.381109804,1674561832_70492
172,-350182.88717128,-350160.88717128,-350114.526482197,-350083.368741092,1674383853_52518
267,-350173.301498903,-350151.301498903,-350104.94080982,-350073.783068715,1674522854_46433
398,-350165.525443196,-350143.525443196,-350097.164754113,-350066.007013008,1674393103_26354
56,-350163.818464112,-350141.818464112,-350095.45777503,-350064.300033924,1674546162_34963
447,-350157.312092767,-350135.312092767,-350088.951403684,-350057.793662579,1674448681_17056
216,-350154.895443489,-350132.895443489,-350086.534754406,-350055.377013301,1674318156_97385
201,-350151.959346374,-350129.959346374,-350083.598657291,-350052.440916186,1674301062_01555
175,-350151.780669242,-350129.780669242,-350083.419980159,-350052.262239054,1674387809_31812
104,-350147.826922433,-350125.826922433,-350079.466233351,-350048.308492245,1674310211_18897
422,-350143.28979452,-350121.28979452,-350074.929105438,-350043.771364332,1674419985_94434
219,-350138.237893577,-350116.237893577,-350069.877204495,-350038.719463389,1674321330_35723
159,-350133.015213109,-350111.015213109,-350064.654524026,-350033.496782921,1674368912_55402
452,-350130.88860716,-350108.88860716,-350062.527918078,-350031.370176972,1674454721_58367
30,-350128.656137344,-350106.656137344,-350060.295448262,-350029.137707156,1674516258_03131
428,-350124.545297579,-350102.545297579,-350056.184608496,-350025.026867391,1674427044_22049
334,-350118.996636394,-350096.996636394,-350050.635947312,-350019.478206206,1674462722_72923
137,-350103.207098412,-350081.207098412,-350034.846409329,-350003.688668224,1674346019_18453
446,-350101.312286023,-350079.312286023,-350032.95159694,-350001.793855835,1674447368_90419
93,-350089.636187242,-350067.636187242,-350021.27549816,-349990.117757054,1674421252_90389
190,-350089.51134984,-350067.51134984,-350021.150660757,-349989.992919652,1674405548_99898
280,-350070.597812422,-350048.597812422,-350002.237123339,-349971.079382234,1674534446_98145
343,-350066.846049794,-350044.846049794,-349998.485360712,-349967.327619606,1674473514_48822
382,-350055.608356655,-350033.608356655,-349987.247667572,-349956.089926467,1674375561_76836
308,-350047.504803212,-350025.504803212,-349979.144114129,-349947.986373024,1674436768_62243
383,-350044.577526072,-350022.577526072,-349976.21683699,-349945.059095884,1674376298_65056
285,-350037.462750119,-350015.462750119,-349969.102061037,-349937.944319931,1674539454_30652
204,-350025.557429221,-350003.557429221,-349957.196740139,-349926.038999033,1674304357_09925
275,-350013.004198953,-349991.004198953,-349944.643509871,-349913.485768765,1674530672_05826
221,-350002.732149172,-349980.732149172,-349934.371460089,-349903.213718984,1674324264_31774
481,-350001.690899926,-349979.690899926,-349933.330210844,-349902.172469738,1674481070_02394
244,-349999.329734816,-349977.329734816,-349930.969045734,-349899.811304628,1674503582_968
169,-349994.395785779,-349972.395785779,-349926.035096696,-349894.877355591,1674380745_0308
467,-349963.37737057,-349941.37737057,-349895.016681488,-349863.858940382,1674467908_17427
80,-349960.875471632,-349938.875471632,-349892.514782549,-349861.357041444,1674572789_34406
252,-349960.80619232,-349938.80619232,-349892.445503238,-349861.287762132,1674509916_05212
301,-349959.351784916,-349937.351784916,-349890.991095833,-349859.833354728,1674430984_08214
471,-349948.273735794,-349926.273735794,-349879.913046711,-349848.755305606,1674471141_67527
209,-349947.978026494,-349925.978026494,-349879.617337411,-349848.459596306,1674308894_95777
247,-349947.973879918,-349925.973879918,-349879.613190835,-349848.45544973,1674505697_31216
415,-349933.983368334,-349911.983368334,-349865.622679252,-349834.464938146,1674412924_0292
480,-349930.322823832,-349908.322823832,-349861.96213475,-349830.804393644,1674479999_28668
96,-349927.328232384,-349905.328232384,-349858.967543301,-349827.809802196,1674423690_07895
207,-349926.807427476,-349904.807427476,-349858.446738393,-349827.288997288,1674307201_64685
236,-349926.651063247,-349904.651063247,-349858.290374164,-349827.132633059,1674496334_01023
208,-349922.022085891,-349900.022085891,-349853.661396809,-349822.503655703,1674308084_24351
140,-349893.366571288,-349871.366571288,-349825.005882205,-349793.8481411,1674348876_72511
390,-349890.922548048,-349868.922548048,-349822.561858966,-349791.40411786,1674383857_89909
419,-349889.915866436,-349867.915866436,-349821.555177353,-349790.397436248,1674417090_05739
411,-349882.461099683,-349860.461099683,-349814.100410601,-349782.942669495,1674409325_13334
307,-349881.579526881,-349859.579526881,-349813.218837799,-349782.061096693,1674436155_69802
468,-349879.879673587,-349857.879673587,-349811.518984504,-349780.361243399,1674468841_94773
235,-349879.539425475,-349857.539425475,-349811.178736392,-349780.020995287,1674495498_15602
355,-349876.461401776,-349854.461401776,-349808.100712694,-349776.942971588,1674340736_76341
