Unnamed: 0,OFV,AIC,BIC,BICc,run
26,-7024244.08118387,-7024222.08118387,-7024142.76743978,-7024111.60969867,1674616592_76218
5,-7024044.71522773,-7024022.71522773,-7023943.40148364,-7023912.24374254,1674579319_25959
10,-7021734.9797398,-7021712.9797398,-7021633.66599571,-7021602.50825461,1674782044_40446
4,-7020595.42196457,-7020573.42196457,-7020494.10822048,-7020462.95047937,1674548312_3243
15,-7014783.46650195,-7014761.46650195,-7014682.15275786,-7014650.99501676,1674950943_09985
0,-7012481.00877841,-7012459.00877841,-7012379.69503432,-7012348.53729321,1674406328_34794
3,-7011410.72730298,-7011388.72730298,-7011309.41355889,-7011278.25581778,1674515001_27996
13,-7011223.53078134,-7011201.53078134,-7011122.21703725,-7011091.05929615,1674859146_24891
12,-7004329.02236124,-7004307.02236124,-7004227.70861715,-7004196.55087604,1674838083_93864
6,-7003964.58742313,-7003942.58742313,-7003863.27367904,-7003832.11593794,1674637313_87468
9,-6999388.50684609,-6999366.50684609,-6999287.193102,-6999256.03536089,1674731677_48785
1,-6997793.98420596,-6997771.98420596,-6997692.67046187,-6997661.51272077,1674439623_63654
11,-6994977.92634078,-6994955.92634078,-6994876.61259669,-6994845.45485558,1674807652_68649
2,-6994167.10668305,-6994145.10668305,-6994065.79293896,-6994034.63519786,1674472933_96635
20,-6993203.97458655,-6993181.97458655,-6993102.66084246,-6993071.50310135,1674364158_94625
21,-6988871.47724067,-6988849.47724067,-6988770.16349658,-6988739.00575547,1674386008_97938
19,-6986265.31854767,-6986243.31854767,-6986164.00480358,-6986132.84706248,1674321588_78123
24,-6986025.34606246,-6986003.34606246,-6985924.03231837,-6985892.87457726,1674513616_87977
7,-6985766.69977381,-6985744.69977381,-6985665.38602971,-6985634.22828861,1674669643_25911
17,-6984987.00610438,-6984965.00610438,-6984885.69236029,-6984854.53461919,1674321592_00733
8,-6980135.4306073,-6980113.4306073,-6980034.11686321,-6980002.95912211,1674694255_03453
16,-6970386.49083255,-6970364.49083255,-6970285.17708846,-6970254.01934735,1674981148_09058
14,-6958752.3461411,-6958730.3461411,-6958651.03239701,-6958619.87465591,1674918685_35203
22,-6943362.0972218,-6943340.0972218,-6943260.78347771,-6943229.6257366,1674439803_93208
18,-6934859.12464906,-6934837.12464906,-6934757.81090497,-6934726.65316386,1674348672_35229
25,-6922145.66311518,-6922123.66311518,-6922044.34937109,-6922013.19162999,1674566470_66582
23,-6901332.86880599,-6901310.86880599,-6901231.5550619,-6901200.39732079,1674473875_15618
